10970,[115.]
10971,[141.]
10972,[131.]
11109,[120.]
11110,[124.]
11111,[122.]
11112,[118.]
11113,[114.]
11249,[112.]
11250,[135.]
11251,[115.]
11252,[133.]
11253,[111.]
11388,[124.]
11389,[117.]
11390,[105.]
11391,[110.]
11392,[118.]
11528,[110.]
11529,[118.]
11530,[119.]
11531,[114.]
11532,[114.]
11667,[107.]
11668,[114.]
11669,[121.]
11670,[135.]
11671,[147.]
11672,[131.]
11807,[126.]
11808,[110.]
11809,[113.]
11810,[116.]
11811,[145.]
11812,[143.]
11946,[125.]
11947,[142.]
11948,[117.]
11949,[134.]
11950,[118.]
11951,[126.]
11952,[135.]
12085,[129.]
12086,[154.]
12087,[144.]
12088,[128.]
12089,[125.]
12090,[109.]
12091,[134.]
12092,[135.]
12093,[138.]
12225,[139.]
12226,[128.]
12227,[148.]
12228,[138.]
12229,[114.]
12230,[119.]
12231,[141.]
12232,[148.]
12233,[126.]
12365,[125.]
12366,[139.]
12367,[120.]
12368,[135.]
12369,[119.]
12370,[120.]
12371,[127.]
12372,[159.]
12506,[135.]
12507,[92.]
12508,[124.]
12509,[109.]
8078,[134.]
8079,[121.]
8080,[128.]
8081,[128.]
8082,[111.]
8217,[109.]
8218,[118.]
8219,[135.]
8220,[154.]
8221,[115.]
8222,[98.]
8356,[111.]
8357,[131.]
8358,[130.]
8359,[115.]
8360,[135.]
8361,[122.]
8362,[111.]
8496,[110.]
8497,[138.]
8498,[120.]
8499,[108.]
8500,[159.]
8501,[130.]
8502,[122.]
8635,[105.]
8636,[124.]
8637,[111.]
8638,[129.]
8639,[128.]
8640,[118.]
8641,[113.]
8642,[123.]
8643,[119.]
8644,[121.]
8645,[104.]
8774,[107.]
8775,[119.]
8776,[160.]
8777,[133.]
8778,[121.]
8779,[143.]
8780,[114.]
8781,[116.]
8782,[123.]
8783,[157.]
8784,[165.]
8914,[137.]
8915,[150.]
8916,[143.]
8917,[119.]
8918,[129.]
8919,[117.]
