10970,[221.]
10971,[218.]
10972,[183.]
11109,[278.]
11110,[335.]
11111,[351.]
11112,[253.]
11113,[167.]
11249,[277.]
11250,[422.]
11251,[386.]
11252,[276.]
11253,[211.]
11388,[352.]
11389,[352.]
11390,[426.]
11391,[391.]
11392,[327.]
11528,[318.]
11529,[428.]
11530,[492.]
11531,[422.]
11532,[353.]
11667,[376.]
11668,[326.]
11669,[418.]
11670,[510.]
11671,[443.]
11672,[435.]
11807,[436.]
11808,[486.]
11809,[471.]
11810,[558.]
11811,[477.]
11812,[409.]
11946,[499.]
11947,[507.]
11948,[525.]
11949,[508.]
11950,[554.]
11951,[458.]
11952,[462.]
12085,[511.]
12086,[549.]
12087,[580.]
12088,[656.]
12089,[621.]
12090,[542.]
12091,[530.]
12092,[519.]
12093,[499.]
12225,[523.]
12226,[605.]
12227,[662.]
12228,[668.]
12229,[750.]
12230,[748.]
12231,[566.]
12232,[560.]
12233,[521.]
12365,[636.]
12366,[616.]
12367,[716.]
12368,[711.]
12369,[646.]
12370,[670.]
12371,[624.]
12372,[528.]
12506,[792.]
12507,[714.]
12508,[755.]
12509,[680.]
8078,[526.]
8079,[455.]
8080,[451.]
8081,[466.]
8082,[423.]
8217,[538.]
8218,[503.]
8219,[514.]
8220,[492.]
8221,[501.]
8222,[490.]
8356,[563.]
8357,[535.]
8358,[526.]
8359,[576.]
8360,[514.]
8361,[481.]
8362,[661.]
8496,[568.]
8497,[594.]
8498,[614.]
8499,[556.]
8500,[1015.]
8501,[482.]
8502,[594.]
8635,[680.]
8636,[661.]
8637,[667.]
8638,[671.]
8639,[617.]
8640,[570.]
8641,[567.]
8642,[606.]
8643,[627.]
8644,[567.]
8645,[495.]
8774,[736.]
8775,[694.]
8776,[626.]
8777,[699.]
8778,[642.]
8779,[643.]
8780,[636.]
8781,[571.]
8782,[598.]
8783,[952.]
8784,[537.]
8914,[648.]
8915,[660.]
8916,[639.]
8917,[614.]
8918,[618.]
8919,[611.]
8920,[589.]
8921,[747.]
8922,[545.]
9057,[576.]
9058,[552.]
9059,[580.]
9060,[562.]
9061,[535.]
9199,[550.]
9200,[510.]
9201,[542.]
9340,[467.]
9349,[292.]
9488,[263.]
9489,[284.]
9627,[289.]
9628,[243.]
9629,[228.]
9630,[167.]
9767,[283.]
9768,[237.]
9769,[227.]
9770,[170.]
9771,[121.]
9772,[175.]
9773,[193.]
9774,[172.]
9775,[144.]
9776,[78.]
9907,[267.]
9908,[245.]
9909,[151.]
9910,[131.]
9911,[125.]
9912,[165.]
9913,[171.]
9914,[166.]
9915,[145.]
9916,[81.]
10047,[256.]
10048,[186.]
10049,[151.]
10050,[132.]
10051,[106.]
10052,[146.]
10053,[130.]
10054,[144.]
10055,[117.]
10191,[80.]
10192,[78.]
10193,[75.]
10194,[123.]
10195,[92.]
10333,[94.]
6510,[908.]
6649,[1008.]
6650,[981.]
6651,[914.]
6652,[893.]
6653,[850.]
6787,[1030.]
6788,[1190.]
6789,[1402.]
6790,[1033.]
6791,[929.]
6792,[950.]
6793,[797.]
6794,[705.]
6795,[713.]
6928,[1228.]
6929,[1148.]
6930,[1029.]
6931,[940.]
6932,[867.]
6933,[772.]
7068,[1229.]
7069,[1072.]
7070,[966.]
7071,[881.]
7072,[786.]
7209,[1066.]
7210,[1009.]
7211,[858.]
8073,[646.]
8074,[524.]
8213,[611.]
8214,[566.]
8353,[627.]
8354,[615.]
8355,[660.]
8493,[636.]
8494,[656.]
8495,[614.]
8633,[725.]
8634,[854.]
8773,[695.]
8913,[867.]
7653,[454.]
7654,[489.]
7792,[481.]
7793,[487.]
7931,[507.]
7932,[504.]
7933,[541.]
8068,[531.]
8069,[523.]
8070,[519.]
8071,[525.]
8072,[772.]
8207,[545.]
8208,[570.]
8209,[544.]
8210,[707.]
8211,[557.]
8212,[793.]
8345,[533.]
8346,[577.]
8347,[558.]
8348,[597.]
8349,[779.]
8350,[672.]
8351,[576.]
8352,[608.]
8485,[858.]
8486,[729.]
8487,[605.]
8488,[619.]
8489,[689.]
8490,[640.]
8491,[631.]
8492,[633.]
8624,[1315.]
8625,[755.]
8626,[619.]
8627,[637.]
8628,[865.]
8629,[681.]
8630,[676.]
8631,[682.]
8632,[673.]
8770,[1333.]
8771,[1060.]
8772,[745.]
8910,[790.]
8911,[1311.]
7872,[1020.]
7873,[966.]
7874,[932.]
8009,[981.]
8010,[985.]
8011,[989.]
8012,[982.]
8013,[973.]
8014,[943.]
8015,[805.]
8148,[1002.]
8149,[984.]
8150,[1007.]
8151,[942.]
8152,[887.]
8153,[900.]
8154,[994.]
8155,[781.]
8156,[684.]
8157,[686.]
8286,[979.]
8287,[1014.]
8288,[1013.]
8289,[1028.]
8290,[1054.]
8291,[978.]
8292,[991.]
8293,[940.]
8294,[810.]
8295,[780.]
8296,[1062.]
8297,[720.]
8426,[940.]
8427,[947.]
8428,[977.]
8429,[1048.]
8430,[1035.]
8431,[973.]
8432,[914.]
8433,[904.]
8434,[833.]
8435,[860.]
8436,[756.]
8437,[947.]
8438,[830.]
8566,[903.]
8567,[899.]
8568,[961.]
8569,[1039.]
8570,[1057.]
8571,[1047.]
8572,[1014.]
8573,[1019.]
8574,[828.]
8575,[1289.]
8576,[728.]
8577,[1135.]
8578,[758.]
8579,[477.]
8706,[856.]
8707,[889.]
8708,[975.]
8709,[955.]
8710,[1071.]
8711,[1054.]
8712,[1019.]
8713,[960.]
8714,[987.]
8715,[742.]
8716,[668.]
8717,[676.]
8718,[529.]
8719,[524.]
8847,[853.]
8848,[905.]
8849,[902.]
8850,[986.]
8851,[1014.]
8852,[982.]
8853,[965.]
8854,[948.]
8855,[822.]
8856,[679.]
8857,[593.]
8858,[533.]
8859,[460.]
8987,[842.]
8988,[904.]
8989,[875.]
8990,[858.]
8991,[1030.]
8992,[914.]
8993,[883.]
8994,[778.]
8995,[757.]
8996,[873.]
8997,[688.]
8998,[594.]
8999,[523.]
9000,[404.]
9127,[798.]
9128,[852.]
9129,[863.]
9130,[753.]
9131,[921.]
9132,[1012.]
9133,[775.]
9134,[696.]
9135,[678.]
9136,[607.]
9137,[582.]
9138,[575.]
9139,[522.]
9140,[542.]
9141,[597.]
9267,[702.]
9268,[947.]
9269,[791.]
9270,[722.]
9271,[770.]
9272,[868.]
9273,[593.]
9274,[613.]
9275,[570.]
9276,[572.]
9277,[504.]
9278,[668.]
9279,[591.]
9280,[443.]
9281,[388.]
9282,[290.]
9407,[690.]
9408,[726.]
9409,[640.]
9410,[641.]
9411,[663.]
9412,[637.]
9413,[498.]
9414,[447.]
9415,[672.]
9416,[427.]
9417,[404.]
9418,[404.]
9419,[610.]
9420,[682.]
9421,[405.]
9422,[325.]
9548,[512.]
9549,[557.]
9550,[591.]
9551,[428.]
9552,[505.]
9553,[430.]
9554,[346.]
9555,[344.]
9556,[426.]
9557,[515.]
9558,[408.]
9559,[525.]
9560,[368.]
9561,[626.]
9562,[232.]
9563,[301.]
9689,[551.]
9690,[392.]
9691,[415.]
9692,[472.]
9693,[318.]
9694,[317.]
22037,[71.]
22177,[69.]
22178,[94.]
22179,[97.]
22180,[105.]
22181,[95.]
22182,[90.]
22183,[97.]
22184,[118.]
22185,[108.]
22317,[81.]
22318,[92.]
22319,[100.]
22320,[109.]
22321,[70.]
22322,[85.]
22323,[100.]
22324,[118.]
22325,[116.]
22457,[72.]
22458,[94.]
22459,[108.]
22460,[105.]
22461,[56.]
22462,[90.]
22463,[109.]
22464,[133.]
22465,[139.]
22466,[118.]
22467,[135.]
22597,[68.]
22598,[89.]
22599,[95.]
22600,[105.]
22601,[49.]
22602,[122.]
22603,[134.]
22604,[137.]
22605,[119.]
22606,[109.]
22607,[163.]
22737,[61.]
22738,[67.]
22739,[81.]
22740,[88.]
22741,[71.]
22742,[106.]
22743,[115.]
22744,[86.]
22745,[131.]
22746,[82.]
22878,[62.]
22879,[83.]
22880,[74.]
22881,[99.]
22882,[83.]
22883,[97.]
22884,[62.]
22885,[72.]
22886,[92.]
23018,[66.]
23019,[79.]
23020,[77.]
23021,[81.]
23022,[75.]
23023,[59.]
23024,[46.]
23025,[51.]
23158,[66.]
23159,[69.]
23160,[41.]
23161,[28.]
23162,[39.]
23163,[39.]
23298,[48.]
23439,[10.]
13635,[437.]
13774,[570.]
13775,[458.]
13776,[653.]
13777,[318.]
13914,[549.]
13915,[535.]
13916,[1607.]
13917,[451.]
13918,[222.]
13919,[131.]
13920,[120.]
14054,[508.]
14055,[770.]
14056,[1033.]
14057,[419.]
14058,[211.]
14059,[103.]
14060,[77.]
14061,[59.]
14062,[56.]
14194,[449.]
14195,[481.]
14196,[614.]
14197,[312.]
14198,[230.]
14199,[92.]
14200,[73.]
14201,[56.]
14202,[41.]
14333,[436.]
14334,[456.]
14335,[401.]
14336,[429.]
14337,[335.]
14338,[262.]
14339,[63.]
14340,[49.]
14341,[44.]
14473,[381.]
14474,[388.]
14475,[415.]
14476,[398.]
14477,[271.]
14478,[87.]
14479,[48.]
14480,[36.]
14481,[31.]
14614,[275.]
14615,[357.]
14616,[254.]
14617,[162.]
14618,[73.]
14619,[37.]
14620,[25.]
14621,[28.]
14755,[190.]
14756,[308.]
14757,[151.]
14758,[55.]
14759,[24.]
14760,[28.]
14897,[80.]
14898,[54.]
14900,[33.]
14901,[25.]
15040,[26.]
15041,[20.]
15180,[20.]
23137,[301.]
23138,[243.]
23277,[210.]
23278,[281.]
23279,[208.]
23280,[144.]
23281,[123.]
23417,[229.]
23418,[183.]
23419,[222.]
23420,[147.]
23421,[116.]
23422,[99.]
23423,[71.]
23424,[56.]
23557,[239.]
23558,[145.]
23559,[156.]
23560,[151.]
23561,[115.]
23562,[88.]
23563,[70.]
23564,[47.]
23697,[248.]
23698,[162.]
23699,[176.]
23700,[184.]
23701,[95.]
23702,[90.]
23703,[78.]
23704,[49.]
23837,[354.]
23838,[190.]
23839,[218.]
23840,[193.]
23841,[133.]
23842,[78.]
23843,[72.]
23844,[58.]
23845,[42.]
23978,[162.]
23979,[139.]
23980,[216.]
23981,[137.]
23982,[66.]
23983,[64.]
23984,[58.]
23985,[37.]
23986,[26.]
24120,[106.]
24121,[164.]
24122,[79.]
24123,[70.]
24124,[45.]
24125,[32.]
24126,[29.]
24262,[111.]
24263,[44.]
24264,[51.]
24265,[18.]
24402,[98.]
24403,[32.]
24404,[32.]
24542,[70.]
24543,[65.]
24544,[50.]
6424,[24.]
6564,[51.]
6702,[229.]
6703,[99.]
6704,[29.]
6842,[250.]
6843,[141.]
6844,[102.]
6981,[251.]
6982,[153.]
6983,[140.]
6984,[34.]
6985,[14.]
7120,[294.]
7121,[273.]
7122,[221.]
7123,[147.]
7124,[58.]
7260,[231.]
7261,[173.]
7262,[132.]
7263,[99.]
7264,[54.]
7265,[18.]
7401,[225.]
7402,[233.]
7403,[119.]
7404,[31.]
7542,[99.]
7543,[70.]
7544,[98.]
7545,[13.]
7546,[53.]
7684,[169.]
7685,[44.]
7686,[59.]
7824,[76.]
7825,[91.]
12122,[153.]
12261,[90.]
12262,[103.]
12402,[61.]
12403,[91.]
12404,[77.]
12541,[85.]
12542,[78.]
12543,[30.]
12544,[50.]
12545,[42.]
12682,[45.]
12683,[32.]
12684,[30.]
12685,[10.]
12823,[11.]
12824,[7.]
12825,[2.]
12826,[5.]
12827,[7.]
12828,[4.]
12964,[4.]
12965,[6.]
12966,[4.]
12967,[6.]
12968,[8.]
13104,[3.]
13105,[6.]
13106,[10.]
13107,[9.]
13246,[6.]
13247,[9.]
6511,[928.]
6512,[876.]
6513,[851.]
6514,[742.]
6515,[778.]
6516,[644.]
6654,[782.]
6655,[696.]
6656,[687.]
6796,[651.]
5122,[531.]
5123,[475.]
5124,[460.]
5261,[576.]
5262,[498.]
5263,[493.]
5264,[454.]
5265,[439.]
5396,[864.]
5397,[848.]
5398,[790.]
5400,[772.]
5401,[553.]
5402,[529.]
5403,[487.]
5404,[482.]
5536,[799.]
5537,[723.]
5538,[791.]
5539,[727.]
5540,[661.]
5541,[589.]
5542,[532.]
5543,[515.]
5676,[769.]
5677,[719.]
5678,[675.]
5679,[690.]
5680,[678.]
5681,[587.]
5682,[523.]
5683,[566.]
5684,[564.]
5816,[679.]
5817,[700.]
5818,[622.]
5819,[608.]
5820,[616.]
5821,[563.]
5822,[593.]
5823,[585.]
5824,[564.]
5825,[611.]
5956,[662.]
5957,[635.]
5958,[594.]
5959,[594.]
5960,[587.]
5961,[568.]
5962,[597.]
5963,[602.]
5964,[655.]
5965,[605.]
5966,[611.]
5967,[602.]
6094,[774.]
6095,[705.]
6096,[673.]
6097,[669.]
6098,[638.]
6099,[600.]
6100,[574.]
6101,[628.]
6102,[640.]
6103,[656.]
6104,[649.]
6105,[597.]
6106,[650.]
6234,[712.]
6235,[711.]
6236,[697.]
6237,[651.]
6238,[604.]
6239,[571.]
6240,[591.]
6241,[651.]
6242,[649.]
6243,[788.]
