10970,[2432.]
10971,[2510.]
10972,[2995.]
11109,[2930.]
11110,[3196.]
11111,[2761.]
11112,[2704.]
11113,[2636.]
11249,[2438.]
11250,[2727.]
11251,[2766.]
11252,[3154.]
11253,[2604.]
11388,[2995.]
11389,[2390.]
11390,[2755.]
11391,[2939.]
11392,[2548.]
11528,[2297.]
11529,[2295.]
11530,[2223.]
11531,[2032.]
11532,[2854.]
11667,[2939.]
11668,[2714.]
11669,[2680.]
11670,[2250.]
11671,[2442.]
11672,[2456.]
11807,[2994.]
11808,[2877.]
11809,[2566.]
11810,[2168.]
11811,[2629.]
11812,[2274.]
11946,[2486.]
11947,[3142.]
11948,[2888.]
11949,[2490.]
11950,[3176.]
11951,[2598.]
11952,[2443.]
12085,[2807.]
12086,[2949.]
12087,[2821.]
12088,[2228.]
12089,[2449.]
12090,[2589.]
12091,[2417.]
12092,[3161.]
12093,[2937.]
12225,[2797.]
12226,[3358.]
12227,[2614.]
12228,[2722.]
12229,[3100.]
12230,[2868.]
12231,[3100.]
12232,[2707.]
12233,[2991.]
12365,[2637.]
12366,[2781.]
12367,[3137.]
12368,[2756.]
12369,[2746.]
12370,[2712.]
12371,[2582.]
12372,[3834.]
12506,[3126.]
12507,[3058.]
12508,[3316.]
12509,[3147.]
8078,[3599.]
8079,[3854.]
8080,[2690.]
8081,[3078.]
8082,[3034.]
8217,[3906.]
8218,[3024.]
8219,[3084.]
8220,[3120.]
8221,[3138.]
8222,[3127.]
8356,[3634.]
8357,[3616.]
8358,[3109.]
8359,[3527.]
8360,[3294.]
8361,[3742.]
8362,[3606.]
8496,[3503.]
8497,[3229.]
8498,[3660.]
8499,[3672.]
8500,[3965.]
8501,[3789.]
8502,[3207.]
8635,[3677.]
8636,[3155.]
8637,[3353.]
8638,[3180.]
8639,[3139.]
8640,[3250.]
8641,[3569.]
8642,[2849.]
8643,[2852.]
8644,[3536.]
8645,[3673.]
8774,[3226.]
8775,[3507.]
8776,[3881.]
8777,[3768.]
8778,[3545.]
8779,[2883.]
8780,[3367.]
8781,[3379.]
8782,[3100.]
8783,[3884.]
8784,[4115.]
8914,[3536.]
8915,[3870.]
8916,[3504.]
8917,[3434.]
8918,[3770.]
8919,[3909.]
8920,[3669.]
8921,[3975.]
8922,[3651.]
9057,[3756.]
9058,[4175.]
9059,[3905.]
9060,[4201.]
9061,[3629.]
9199,[4158.]
9200,[4000.]
9201,[4389.]
9340,[3981.]
9349,[3667.]
