id,lat,lon,country,Crop,State,Fraction,harv_area,curr_yield,max_yield,gw_depth,HubName,sw_dist,sw_depth,elevation,awsc,sw_suit_idx,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9,prec_10,prec_11,prec_12,srad_1,srad_2,srad_3,srad_4,srad_5,srad_6,srad_7,srad_8,srad_9,srad_10,srad_11,srad_12,tavg_1,tavg_2,tavg_3,tavg_4,tavg_5,tavg_6,tavg_7,tavg_8,tavg_9,tavg_10,tavg_11,tavg_12,tmax_1,tmax_2,tmax_3,tmax_4,tmax_5,tmax_6,tmax_7,tmax_8,tmax_9,tmax_10,tmax_11,tmax_12,tmin_1,tmin_2,tmin_3,tmin_4,tmin_5,tmin_6,tmin_7,tmin_8,tmin_9,tmin_10,tmin_11,tmin_12,wind_1,wind_2,wind_3,wind_4,wind_5,wind_6,wind_7,wind_8,wind_9,wind_10,wind_11,wind_12
436,-14.06535,36.40261,moz,maize,Maua,0.0010094,0.08266986,4500,6000,40.51422861,2436,28897.47418,627,739.342641,89.40150556,9999,268.9045144,217.7430288,181.6201144,67.2521144,7.9361144,5,2.8132,4,8,11.658,69.6201144,206.2781144,16884.0716,16918.98639,16859.97588,16143.08234,15585.69514,14014.8488,14247.38789,16765.40719,19386.28303,21367.33165,19905.35806,17147.93451,23.84437706,24.23798821,23.75666816,23.24437668,21.43798832,19.44437691,19.08448032,20.33798847,22.94437691,25.43798832,25.5379887,24.45666839,30.01017716,30.41017731,29.92246879,29.41017731,27.61017754,25.61017754,24.84437706,26.05666878,28.71017667,31.12885738,31.22885662,30.21017667,17.67218922,18.07218884,17.61229187,17.07218884,15.27218864,13.27218864,13.37218834,14.57218884,17.24437668,19.67218922,19.78447971,18.77218822,1.881319972,1.846491403,1.753508557,1.600000024,1.806388514,1.787708524,2,1.607017146,2.299999952,2.200000048,2.299999952,1.899999976
437,-16.66302,35.52721,moz,maize,Morrumbala,0.04754469,3.893910111,4500,6000,14.54738605,7073,13836.99822,75,147.9820107,89.36712071,9999,193.6881485,170.6881485,160.6257485,66.95225152,23.7652,23.9376,22.7652,12,11.71745152,34.98534848,88.7028,186.908297,18801.83911,18714.0776,17544.25931,16110.26917,14030.49981,12109.60395,12787.33745,15931.5349,18167.94861,20887.99935,20276.90176,18771.88471,26.70624067,26.30770442,26.00624002,25.20624067,22.92971973,20.90146478,21.00624002,22.10770553,25.63449524,28.61248031,27.93595976,27.11248031,33.20770585,32.81247928,32.50770509,31.70770583,29.42971973,27.40623964,27.50770518,28.61394547,32.20770585,35.13595906,34.51394518,33.70770585,20.12825534,19.80623926,19.42971973,18.70146589,16.42347971,14.32825488,14.42825457,15.52825496,19.10624041,22.10624041,21.4077048,20.60624041,1.399999976,1.200000048,1.100000024,1.200000048,1.095225175,1,1.122014877,1.493759999,1.700000048,2,1.700000048,1.304774801
438,-16.64176,35.34036,moz,maize,Morrumbala,0.00239662,0.196283178,4500,6000,7.078437246,6950,9502.835985,45,82.63391588,89.36107418,9999,177.8322438,153.3432,138.0074438,51.64184384,19.1752,19,19,9,9.16775616,33.16775616,76,171.6642438,18810.55571,18671.3584,17714.35428,16307.12222,14211.89464,12394.72824,12924.2168,16038.3184,18236.38311,20919.10173,20308.9376,18788.32398,27.23357587,26.88322394,26.5832247,25.78322388,23.5,21.28322388,21.39999962,22.70000076,26.10000038,28.98322432,29.00002438,27.78322388,34.21679987,33.81680026,33.51679974,32.71679987,30.44890419,28.21680019,27.93357536,29.23357587,32.66567998,35.54890364,35.58248002,34.29999924,20.29999924,19.89999962,19.63432051,18.79999924,16.53432013,14.31677571,14.80000019,16.11677606,19.58245593,22.43357536,22.41679968,21.20000076,1.316775572,1.200000048,1.167895656,1.284695623,1.100000024,1.200000048,1.200000048,1.533575624,1.783224352,1.999231212,1.700000048,1.399999976
439,-14.91114,38.90237,moz,maize,Mecuburi,0.02003128,1.640561832,4500,6000,16.99693505,3652,23695.82292,456,528.6715392,89.48110973,9999,257.3383718,251.9476,185.1632,92.97754368,20.03518592,13,11,6,6.65638592,17,71.34361408,193.1983859,18327.43219,17967.97118,17700.11761,16459.80038,15464.58972,14103.01939,14205.39521,16965.92045,19535.15578,21959.94828,21112.54395,19278.75871,25.19648216,25.28367949,24.96211986,24.26563835,22.28367949,20.46211986,19.88367956,21.26211975,23.08368032,25.6836807,26.28016088,25.88367956,31.28367949,31.38016102,31.04931878,30.36735981,28.38016102,26.54931878,26.59648178,27.96563846,29.7964807,32.46212044,32.98368025,32.59647994,19.16563922,19.19648216,18.87843954,18.17844068,16.19648216,14.37843974,13.16211999,14.48367994,16.38016102,18.98016133,19.56736026,19.1801621,1.287198557,1.299999952,1.299999952,1.200000048,1.200000048,1.483679996,1.616320028,1.721560027,1.850681372,1.899999976,1.600000024,1.469157177
440,-15.50633,39.82515,moz,maize,Mongincual,0.01231087,1.008260253,4500,6000,17.32718786,4788,11778.68153,80,154.2138769,89.50987434,9999,205.9652,183.2502544,190.3835272,93.0996728,24.5273456,24.518,24.6164728,12,5,24,55.482,140.1251272,19769.77865,19774.16201,18748.12273,17720.54683,16346.60436,14791.10888,14973.1876,17693.72015,20820.20142,22950.984,22679.2608,20944.32087,26.5,26.28748671,25.88748685,25.53835287,23.98748723,22.43835248,21.98748723,22.92583972,24.13835325,25.70000076,27.28748671,27.53835287,32.62583954,32.38748852,31.98748723,31.63835325,30.08748761,28.57404028,28.7383529,29.67404066,30.88748685,32.46164787,34,34.28748671,20.39999962,20.20000076,19.78748671,19.39999962,17.88748685,16.3383521,15.22584003,16.187488,17.38748685,19,20.5,20.78748671,1.264312706,1.299999952,1.312512675,1.299999952,1.547265451,1.600000024,1.790152727,1.425959982,1.700000048,1.974039994,1.828505457,1.5
441,-16.77351,39.03284,moz,maize,Pebane,0.00248674,0.203664006,4500,6000,7.966335404,7220,4947.930028,11,33.56513709,89.48121655,9999,217.4408,165.700785,210.500815,129.621615,64.7608,58.74001504,48.47883008,27.5592,10,17.62041504,52.14158496,153,19639.82507,19449.0013,18865.32113,16904.76159,15207.60602,13415.92057,13543.59259,16648.45442,20196.33018,22437.45901,21681.7924,20019.25427,27.70000076,27.5,26.92992124,26.10000038,24.20000076,22.39999962,21.89999962,22.78584096,24.39999962,26.16788064,27.29999924,27.98584145,33.09999847,32.90000153,32.32992143,31.48584145,29.56788026,27.79999924,26.98584145,27.88584107,29.52380009,31.26787973,32.42380062,33.12379956,22.29999924,22.10000038,21.54408017,20.70000076,18.76204132,17,16.74408009,17.6321205,19.26204132,21,22.20000076,22.86204098,1.962041495,1.984236971,1.899999976,1.655920037,1.899999976,2,2.014158482,2,2.5,2.862041545,2.490358539,2.099999905
442,-20.78655,34.03236,moz,maize,Chibabava,0.00347736,0.284795784,4500,6000,6.305068534,10108,3804.507288,58,69.25962548,89.30903723,1,147.228,179.4972,110.3395152,41.3395152,17,12,8,9,11,28.6168,86.3832,159.3395152,21053.7068,20257.3016,19015.9956,16660.45237,14456.312,12559.54501,13105.98521,15548.658,18664.9644,20587.7044,20960.69952,20708.50781,27.20000076,26.5,25.89999962,24.70000076,22.20000076,20,19.5,21.10000038,23.60000038,25.60000038,26.70000076,26.60000038,34.70000076,34,33.46168058,32.26167982,29.70703218,27.5,25.70703218,27.36167947,29.86167947,31.86167947,32.90703294,32.86168065,19.69296922,19,18.39999962,17.20000076,14.69999981,12.43831976,13.30000019,14.89999962,17.39999962,19.39999962,20.5,20.39999962,1.811399955,1.545351531,1.600000024,1.345351483,1.299999952,1.200000048,1.399999976,1.754648476,2.004368476,2.376639971,2.099999905,1.708886089
443,-15.56077,38.23059,moz,maize,Gile,0.01298299,1.063306881,4500,6000,16.68819609,5146,6387.27033,393,450.0514548,89.45775653,9999,257.2076,226.9001162,195.3141162,101.9645419,32.5848,25.96454192,25,12,8.7924,21.8292,77,200.6584,18450.54614,18135.74788,17414.2948,15900.37365,14626.60788,12770.33538,13035.75267,16178.59774,19041.75588,21290.5008,20645.48937,18911.56306,25.78278531,25.79631955,25.09632037,24.21353475,21.8963196,19.7170805,19.3170793,20.91353386,23.29631955,25.8170793,26.63061443,26.11708045,32.21353475,32.230615,31.53061431,30.69632049,28.33061355,26.19632049,26.2170805,27.7170805,30.11708045,32.65137319,33.51707974,33.01707974,19.29999924,19.31353348,18.61708045,17.7170805,15.41707968,13.30000019,12.51353424,14.09632024,16.47923992,19.01353424,19.79631955,19.29631955,1.117080028,1.200000048,1.265705793,1.103545833,1.100000024,1.003545809,1.100000024,1.200000048,1.707225833,1.700000048,1.600000024,1.399999976
444,-12.2619,35.15447,moz,maize,Lago,0.00036273,0.029707587,4500,6000,20.49557486,1008,3694.023765,675,743.0901742,89.36488295,1,298.8950208,315.9981792,252.9965792,107.8942208,17,4,1,2,2,9,57.0693792,226.8196,15661.516,15623.35164,16652.43804,17154.12448,16953.97547,16082.6408,15832.17898,18400.39524,21174.32586,22335.01044,20401.72409,16775.24924,23.99670207,23.8964396,23.88950179,23.60008032,21.98950204,20.38950179,19.98950204,21.30007937,23.18230271,25.78230139,26.00008,24.50728003,29.60372033,29.50371995,29.50371995,29.29651936,27.60345825,26.00008,24.3106572,25.70372071,27.59288029,30.0965203,30.40371963,28.91091966,18.29999924,18.29279935,18.19306282,17.99279997,16.38222177,14.69279985,15.58586241,16.8964396,18.77839929,21.37839967,21.68560071,20.1036404,1.899999976,1.700000048,1.700000048,2.006937913,2.406938009,2.5,2.700000048,2.200000048,2.5,2.703822116,2.703822116,2.099737825
445,-14.96771,36.31772,moz,maize,Cuamba,0.04225291,3.460513329,4500,6000,15.78234884,3945,9905.060929,593,625.5366732,89.39671178,9999,255.6083747,222.2504,159.2335747,61.2504,13.76522528,11.6252,8.6252,8.60837472,13,22,76,200.2335747,17182.8902,17327.75727,16818.23938,15707.2973,14888.86797,12924.23243,13566.52474,16703.14603,18843.22717,21228.0513,19876.16528,17354.02503,24.86263948,24.83916191,24.33916191,23.33916191,21.46263986,19.57664282,19.77664212,20.73916269,24.13916306,26.73916269,26.4392823,25.1158055,31.01592512,31.01592512,30.51592512,29.51592512,27.63928306,25.73928225,26.20180255,27.16264062,30.53928268,33.13928279,32.83928356,31.53928268,18.66252062,18.6765232,18.1765232,17.16252062,15.27652263,13.39987984,13.37664228,14.35316494,17.70000076,20.33916191,20,18.70000076,1.537480009,1.501682528,1.553165069,1.574960018,1.760837462,1.700000048,1.937479985,2.06251994,2.299999952,2.02347745,2.06095747,1.899999976
