alloc_key,NAME,lon,lat,statearea,maize,tavg,srad,prec,wind,PHIHOX,BDRICM,BLD,CLYPPT,TEXMHT,ORCDRC,DRAINFAO,EVI,NDVI,slope,elevation
23298,Panda,34.0845718602,-24.3962788867,752721.7726504435,6981.0,23.974998,17130.666,64.916664,1.6,61.0,158.0,1290.0,10.0,11.0,12.0,5.0,0.3058,0.5159,1.4748751,48.0
13917,Gorongosa,34.1882681233,-18.3617784881,683352.7441122661,5439.0,22.483332,17857.75,90.666664,1.5,60.0,118.0,1360.0,27.0,6.0,33.0,6.0,0.43310000000000004,0.7172000000000001,7.221386,451.0
14057,Gorongosa,34.1857596209,-18.451840614800002,683352.7441122661,5439.0,22.225,17851.0,92.25,1.5,60.0,136.0,1280.0,30.0,6.0,25.0,6.0,0.4978,0.7131000000000001,6.29368,419.0
14196,Gorongosa,34.0888247229,-18.539464695699998,683352.7441122661,5439.0,21.466667,17702.916,100.916664,1.5,59.0,135.0,1240.0,27.0,6.0,31.0,5.0,0.4093,0.7622,7.2526045,614.0
14336,Gorongosa,34.086237983800004,-18.629511766,683352.7441122661,5439.0,23.108332,17804.084,95.166664,1.5,60.0,128.0,1370.0,25.0,6.0,12.0,5.0,0.3519,0.5901000000000001,1.3523269,429.0
23563,Magude,32.6037262997,-24.5207368916,655503.3085431918,2930.0,23.008331,17180.416,58.416668,1.6,67.0,174.0,1260.0,25.0,6.0,15.0,3.0,0.3229,0.6117,0.1698994,70.0
23564,Magude,32.7018389804,-24.5248812633,655503.3085431918,2930.0,23.183334,17239.75,57.333332,1.5,67.0,175.0,1330.0,22.0,6.0,14.0,3.0,0.2175,0.41540000000000005,0.14904477,47.0
24263,Magude,32.5806256545,-24.969472898899998,655503.3085431918,2930.0,22.925001,16724.666,63.0,1.7,71.0,159.0,1380.0,29.0,6.0,12.0,3.0,0.2541,0.44680000000000003,0.34522286,44.0
24542,Magude,32.4726479749,-25.1446242421,655503.3085431918,2930.0,23.125,16662.666,60.583332,1.8,65.0,154.0,1370.0,17.0,9.0,15.0,4.0,0.34900000000000003,0.5543,1.2382059,70.0
12683,Nicoadala,36.6554582711,-17.59531983,329560.4849295189,1630.0,25.29167,17362.834,98.083336,1.4,61.0,161.0,1460.0,21.0,6.0,12.0,4.0,0.3452,0.5831000000000001,0.31961593,32.0
12826,Nicoadala,36.9369701283,-17.6888023523,329560.4849295189,1630.0,25.391665,17382.416,110.833336,1.9,65.0,149.0,1310.0,39.0,4.0,24.0,1.0,0.2696,0.4738,0.05602451,5.0
13105,Nicoadala,36.8405668823,-17.868439059900005,329560.4849295189,1630.0,25.091667,17489.916,113.166664,2.3,60.0,175.0,1420.0,36.0,3.0,18.0,2.0,0.219,0.44830000000000003,0.0,6.0
