XCoord,YCoord,lat,long,FID,ID,ORIG_FID,area_m2,gw_depth,TDS,country,elevation,wind_1,wind_2,wind_3,wind_4,wind_5,wind_6,wind_7,wind_8,wind_9,wind_10,wind_11,wind_12,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9,prec_10,prec_11,prec_12,srad_1,srad_2,srad_3,srad_4,srad_5,srad_6,srad_7,srad_8,srad_9,srad_10,srad_11,srad_12,tmax_1,tmax_2,tmax_3,tmax_4,tmax_5,tmax_6,tmax_7,tmax_8,tmax_9,tmax_10,tmax_11,tmax_12,tavg_1,tavg_2,tavg_3,tavg_4,tavg_5,tavg_6,tavg_7,tavg_8,tavg_9,tavg_10,tavg_11,tavg_12,tmin_1,tmin_2,tmin_3,tmin_4,tmin_5,tmin_6,tmin_7,tmin_8,tmin_9,tmin_10,tmin_11,tmin_12
73580.89526,3450205.122,29.7496,0.66099,107,374276,107,2435.026225,30,3000,moz,360,3.5,4,4.3,5.3,5.2,4.8,4.6,4.6,4,3.8,3.6,3.6,3.21,3.21,4.2125,2.1265,1.36883,0.05,0.064458,0.518583,2.09808,4.64496,2.48342,2.74867,14507,17488,22206,25774,27933,28666,28224,26585,22747,18873,15097,13279,18.0247,21.066099,25.203699,30.514299,35.421101,40.639599,43.013401,42.136299,37.790501,30.710199,23.0434,18.252501,10.5097,13.6538,17.6192,22.982901,28.002501,33.089401,34.696899,35.119202,30.7836,23.8118,16.219999,11.5809,3.69784,6.47227,10.147,15.0764,20.0005,24.9739,28.2502,27.519199,23.222099,16.9842,9.73241,5.58545
72930.50059,3450166.142,29.7493,0.65515,108,374277,108,1948.014983,30,3000,moz,360,3.5,4,4.3,5.3,5.2,4.8,4.6,4.6,4,3.8,3.6,3.6,3.21,3.21,4.2125,2.1265,1.36883,0.05,0.064458,0.518583,2.09808,4.64496,2.48342,2.74867,14507,17488,22206,25774,27933,28666,28224,26585,22747,18873,15097,13279,18.0247,21.066099,25.203699,30.514299,35.421101,40.639599,43.013401,42.136299,37.790501,30.710199,23.0434,18.252501,10.5097,13.6538,17.6192,22.982901,28.002501,33.089401,34.696899,35.119202,30.7836,23.8118,16.219999,11.5809,3.69784,6.47227,10.147,15.0764,20.0005,24.9739,28.2502,27.519199,23.222099,16.9842,9.73241,5.58545
72791.35118,3450112.988,29.74888,0.6539,109,374281,109,1948.006804,30,3000,moz,355,3.5,4,4.3,5.3,5.3,4.6,4.6,4.6,4,3.8,3.6,3.6,3.20667,3.20667,4.21417,2.11506,1.37039,0.05,0.061153,0.520194,2.10314,4.65987,2.48192,2.74378,14507,17488,22206,25775,27958,28637,28259,26586,22747,18873,15097,13279,18.0233,21.065001,25.2519,30.5625,35.468899,40.637402,43.012501,42.135101,37.788101,30.707701,23.0413,18.251101,10.5102,13.655,17.6199,22.9834,28.0023,33.089001,34.698002,35.1203,30.7836,23.8118,16.220301,11.5814,3.69983,6.47548,10.1493,15.0787,20.002701,24.975401,28.253799,27.4739,23.224001,16.987,9.73449,5.53684
72631.58704,3450101.176,29.74879,0.65246,110,374283,110,1948.004987,30,3000,moz,359,3.5,4,4.3,5.3,5.3,4.6,4.6,4.6,4,3.8,3.6,3.6,3.20667,3.20667,4.21417,2.11506,1.37039,0.05,0.061153,0.520194,2.10314,4.65987,2.48192,2.74378,14507,17488,22206,25775,27958,28637,28259,26586,22747,18873,15097,13279,18.0233,21.065001,25.2519,30.5625,35.468899,40.637402,43.012501,42.135101,37.788101,30.707701,23.0413,18.251101,10.5102,13.655,17.6199,22.9834,28.0023,33.089001,34.698002,35.1203,30.7836,23.8118,16.220301,11.5814,3.69983,6.47548,10.1493,15.0787,20.002701,24.975401,28.253799,27.4739,23.224001,16.987,9.73449,5.53684
73146.219,3450077.552,29.7486,0.65708,111,374285,111,3409.002367,30,3000,moz,357,3.5,4,4.3,5.3,5.2,4.8,4.6,4.6,4,3.8,3.6,3.6,3.21,3.21,4.2125,2.1265,1.36883,0.05,0.064458,0.518583,2.09808,4.64496,2.48342,2.74867,14507,17488,22206,25774,27933,28666,28224,26585,22747,18873,15097,13279,18.0247,21.066099,25.203699,30.514299,35.421101,40.639599,43.013401,42.136299,37.790501,30.710199,23.0434,18.252501,10.5097,13.6538,17.6192,22.982901,28.002501,33.089401,34.696899,35.119202,30.7836,23.8118,16.219999,11.5809,3.69784,6.47227,10.147,15.0764,20.0005,24.9739,28.2502,27.519199,23.222099,16.9842,9.73241,5.58545
73274.58464,3450071.994,29.74856,0.65824,112,374288,112,8279.002112,30,3000,moz,358,3.5,4,4.3,5.3,5.2,4.8,4.6,4.6,4,3.8,3.6,3.6,3.21,3.21,4.2125,2.1265,1.36883,0.05,0.064458,0.518583,2.09808,4.64496,2.48342,2.74867,14507,17488,22206,25774,27933,28666,28224,26585,22747,18873,15097,13279,18.0247,21.066099,25.203699,30.514299,35.421101,40.639599,43.013401,42.136299,37.790501,30.710199,23.0434,18.252501,10.5097,13.6538,17.6192,22.982901,28.002501,33.089401,34.696899,35.119202,30.7836,23.8118,16.219999,11.5809,3.69784,6.47227,10.147,15.0764,20.0005,24.9739,28.2502,27.519199,23.222099,16.9842,9.73241,5.58545
73496.37481,3450120.863,29.74894,0.66023,113,374289,113,14610.06012,30,3000,moz,360,3.5,4,4.3,5.3,5.2,4.8,4.6,4.6,4,3.8,3.6,3.6,3.21,3.21,4.2125,2.1265,1.36883,0.05,0.064458,0.518583,2.09808,4.64496,2.48342,2.74867,14507,17488,22206,25774,27933,28666,28224,26585,22747,18873,15097,13279,18.0247,21.066099,25.203699,30.514299,35.421101,40.639599,43.013401,42.136299,37.790501,30.710199,23.0434,18.252501,10.5097,13.6538,17.6192,22.982901,28.002501,33.089401,34.696899,35.119202,30.7836,23.8118,16.219999,11.5809,3.69784,6.47227,10.147,15.0764,20.0005,24.9739,28.2502,27.519199,23.222099,16.9842,9.73241,5.58545
72506.77828,3450053.928,29.74842,0.65134,114,374292,114,11200.98688,30,3000,moz,360,3.5,4,4.3,5.3,5.3,4.6,4.6,4.6,4,3.8,3.6,3.6,3.20667,3.20667,4.21417,2.11506,1.37039,0.05,0.061153,0.520194,2.10314,4.65987,2.48192,2.74378,14507,17488,22206,25775,27958,28637,28259,26586,22747,18873,15097,13279,18.0233,21.065001,25.2519,30.5625,35.468899,40.637402,43.012501,42.135101,37.788101,30.707701,23.0413,18.251101,10.5102,13.655,17.6199,22.9834,28.0023,33.089001,34.698002,35.1203,30.7836,23.8118,16.220301,11.5814,3.69983,6.47548,10.1493,15.0787,20.002701,24.975401,28.253799,27.4739,23.224001,16.987,9.73449,5.53684
72943.38479,3449980.104,29.74784,0.65526,115,374293,115,3895.972718,30,3000,moz,360,3.5,4,4.3,5.3,5.2,4.8,4.6,4.6,4,3.8,3.6,3.6,3.21,3.21,4.2125,2.1265,1.36883,0.05,0.064458,0.518583,2.09808,4.64496,2.48342,2.74867,14507,17488,22206,25774,27933,28666,28224,26585,22747,18873,15097,13279,18.0247,21.066099,25.203699,30.514299,35.421101,40.639599,43.013401,42.136299,37.790501,30.710199,23.0434,18.252501,10.5097,13.6538,17.6192,22.982901,28.002501,33.089401,34.696899,35.119202,30.7836,23.8118,16.219999,11.5809,3.69784,6.47227,10.147,15.0764,20.0005,24.9739,28.2502,27.519199,23.222099,16.9842,9.73241,5.58545
72471.82291,3449912.186,29.7473,0.65103,116,374297,116,3408.957843,30,3000,moz,357,3.5,4,4.3,5.3,5.3,4.6,4.6,4.6,4,3.8,3.6,3.6,3.20667,3.20667,4.21417,2.11506,1.37039,0.05,0.061153,0.520194,2.10314,4.65987,2.48192,2.74378,14507,17488,22206,25775,27958,28637,28259,26586,22747,18873,15097,13279,18.0233,21.065001,25.2519,30.5625,35.468899,40.637402,43.012501,42.135101,37.788101,30.707701,23.0413,18.251101,10.5102,13.655,17.6199,22.9834,28.0023,33.089001,34.698002,35.1203,30.7836,23.8118,16.220301,11.5814,3.69983,6.47548,10.1493,15.0787,20.002701,24.975401,28.253799,27.4739,23.224001,16.987,9.73449,5.53684
