Pixel,State,lon,lat,Crop,Fraction,CropArea,elevation,sw_dist,sw_suit
"31321",Gurue,37.231020000000001,-15.432589999999999,Maize,0.000000000000000,0.000000000000000,"608",27.621573304511010,"9999"
"16151",Moatize,34.296210000000002,-15.570090000000000,Maize,0.000401710000000,0.040171000000000,"503",15.356283315288687,"9999"
"39941",Vilanculos,35.310510000000001,-22.076920000000001,Maize,1.305437800000000,130.543779999999998,"36",13.171736559176685,"9999"
"34035",Marracuene,32.818759999999997,-25.528420000000001,Maize,0.852215200000000,85.221519999999998,"9",1.466867096786294,"1"
"33447",Barue,33.200060000000001,-18.010149999999999,Maize,0.000000000000000,0.000000000000000,"528",8.212578336638748,"9999"
"30872",Gurue,36.829250000000002,-15.546490000000000,Maize,0.591789600000000,59.178959999999996,"597",14.967378254474353,"9999"
"10567",Lago,35.126869999999997,-12.067069999999999,Maize,0.120287390000000,12.028739000000000,"636",3.014658922133283,"1"
"38092",Chibabava,33.896099999999997,-20.183029999999999,Maize,0.271727030000000,27.172702999999998,"87",16.358334471188687,"9999"
"29564",Sanga,35.241489999999999,-13.016299999999999,Maize,0.016993430000000,1.699343000000000,"970",26.686286871143675,"9999"
"4948",Cuamba,36.771889999999999,-14.795999999999999,Maize,0.002244280000000,0.224428000000000,"546",4.514872331429704,"1"
"26498",Ile,37.291110000000003,-16.047590000000000,Maize,0.054036710000000,5.403671000000000,"396",19.112886242461549,"9999"
"1627",N_gauma,35.483960000000003,-14.057820000000000,Maize,0.206783180000000,20.678318000000001,"809",17.488251325082388,"9999"
"42877",Pebane,38.552149999999997,-16.415540000000000,Maize,0.001647340000000,0.164734000000000,"91",1.670801924850709,"1"
"38599",Machaze,32.756100000000004,-20.784829999999999,Maize,0.072882940000000,7.288294000000000,"267",6.254757851488798,"9999"
"42226",Mutarara,35.282570000000000,-17.520109999999999,Maize,0.049392320000000,4.939232000000000,"31",5.048379850074789,"9999"
"17013",Zumbu,31.085270000000001,-15.110320000000000,Maize,1.931819990000000,193.181998999999990,"848",14.897648587365627,"9999"
"42710",Mutarara,35.056249999999999,-17.109770000000001,Maize,0.000510820000000,0.051082000000000,"53",14.733624721977755,"9999"
"14172",Morrumbala,35.673810000000003,-17.211140000000000,Maize,0.064580520000000,6.458052000000000,"32",34.101804756710308,"9999"
"4254",Memba,40.122190000000003,-14.017540000000000,Maize,0.795345650000000,79.534565000000001,"150",19.369833893247577,"9999"
"12951",Morrumbala,35.862409999999997,-16.600239999999999,Maize,0.000000000000000,0.000000000000000,"337",9.478838341705700,"9999"
"39071",Machaze,33.379829999999998,-20.995539999999998,Maize,0.402977770000000,40.297777000000004,"190",31.037829374236036,"9999"
"30597",Gurue,37.010260000000002,-15.132529999999999,Maize,0.738133060000000,73.813305999999997,"612",17.007575804823333,"9999"
"2368",Maravia,32.077719999999999,-14.406409999999999,Maize,0.232121810000000,23.212181000000001,"895",11.587367934453097,"9999"
"43518",Pebane,38.183619999999998,-17.182739999999999,Maize,0.334552750000000,33.455275000000000,"5",11.998490014290152,"9999"
"6067",Sussundenga,32.891700000000000,-19.269210000000001,Maize,0.000000000000000,0.000000000000000,"649",10.831279895136550,"9999"
"16687",Moatize,33.674779999999998,-16.222439999999999,Maize,0.919801310000000,91.980131000000000,"118",3.383764772254032,"1"
"27714",Ile,37.634839999999997,-16.348320000000001,Maize,0.009244960000000,0.924496000000000,"222",8.096930260048891,"9999"
"5202",Cuamba,36.466749999999998,-14.684440000000000,Maize,0.035075980000000,3.507598000000000,"575",11.623502631462465,"9999"
"23993",Alto_Molocue,37.592550000000003,-15.706329999999999,Maize,0.033103050000000,3.310305000000000,"548",12.009925218496146,"9999"
"29291",Mossurize,32.552889999999998,-20.840240000000001,Maize,0.155429520000000,15.542952000000000,"395",18.900444669986708,"9999"
"24936",Chiuta,33.493240000000000,-15.704520000000000,Maize,0.000290010000000,0.029001000000000,"356",1.509032285401240,"1"
"17933",Tambara,34.176479999999998,-16.676100000000002,Maize,2.477726710000000,247.772671000000003,"97",0.691340020285341,"1"
"40007",Vilanculos,35.108110000000003,-22.396920000000001,Maize,1.305129530000000,130.512953000000010,"30",8.583016576298176,"9999"
"38874",Machaze,33.287509999999997,-20.902439999999999,Maize,0.403703080000000,40.370308000000001,"190",34.673639407511239,"9999"
"27182",Ile,37.151029999999999,-16.037389999999998,Maize,0.072110260000000,7.211026000000000,"409",4.123283865319967,"1"
"5622",Cuamba,36.436480000000003,-14.891880000000000,Maize,0.940857560000000,94.085756000000003,"579",9.850251238383949,"9999"
"33798",Barue,33.018799999999999,-17.806650000000001,Maize,0.620871280000000,62.087128000000000,"822",1.311177923037503,"1"
"37974",Tsangano,34.441180000000003,-15.320700000000000,Maize,0.444055930000000,44.405593000000003,"840",40.210348605458925,"9999"
"27945",Ile,37.484450000000002,-16.428619999999999,Maize,0.001895400000000,0.189540000000000,"207",8.764719937087774,"9999"
"31757",Gurue,36.904440000000001,-15.483960000000000,Maize,0.175724920000000,17.572492000000000,"597",15.783059176945516,"9999"
"321",Ribaue,38.118389999999998,-14.922610000000001,Maize,0.007221040000000,0.722104000000000,"492",22.087081081806044,"9999"
"32064",Macossa,33.298139999999997,-17.589970000000001,Maize,0.473138410000000,47.313840999999996,"712",25.943657900999700,"9999"
"17254",Chifunde,33.256680000000003,-14.123120000000000,Maize,0.042914030000000,4.291403000000000,"905",18.704288125574784,"9999"
"8920",Mecuburi,38.778970000000001,-14.499250000000000,Maize,0.027419330000000,2.741933000000000,"436",19.714410843320518,"9999"
