Pixel,State,lon,lat,Crop,Fraction,CropArea
6272,Sussundenga,33.86335,-19.72263,Maize,1.20624166,120.624166
21719,Inharrime,34.36464,-24.54031,Maize,3.54491164,354.491164
2232,Malema,37.33712,-14.97249,Maize,0.32280181,32.280181
9281,Govuro,35.01163,-20.9786,Maize,0.8423262,84.23262
18403,Mecanhelas,35.82103,-14.42367,Maize,6.73E-06,0.000673
21444,Manica,33.23333,-18.9833,Maize,0.5899732,58.99732
29693,Sanga,35.25867,-13.09777,Maize,0.00059772,0.059772
19815,Lichinga,35.34952,-13.18031,Maize,0.62730733,62.730733
21348,Manica,33.3687,-18.89745,Maize,0.24589623,24.589623
4933,Cuamba,36.79092,-14.751,Maize,0.31281318,31.281318
43156,Pebane,38.64493,-16.89482,Maize,0.08879431,8.879431
29612,Sanga,35.18558,-13.0606,Maize,0.05294691,5.294691
32725,Mopeia,35.68328,-17.72581,Maize,0.49349155,49.349155
18307,Mecanhelas,35.7112,-14.33188,Maize,0.41754266,41.754266
7368,Nhamatanda,34.04495,-19.38534,Maize,0.00151204,0.151204
14688,Morrumbala,35.44607,-17.33359,Maize,0.14486022,14.486022
34613,Chemba,34.36909,-17.21239,Maize,0.57676326,57.676326
5466,Cuamba,36.71618,-14.79545,Maize,0.06976319,6.976319
32100,Macossa,33.34109,-17.71725,Maize,0.28546485,28.546485
25505,Buzi,34.32398,-19.91554,Maize,0.0747817,7.47817
28785,Mossurize,32.63032,-20.59132,Maize,0,0
910,Mogovolas,39.51544,-15.87299,Maize,0.70237575,70.237575
1734,Malema,37.85851,-14.8401,Maize,0,0
6623,Nhamatanda,34.25124,-19.14751,Maize,0.09136666,9.136666
37719,Tsangano,34.55422,-14.79997,Maize,9.05E-05,0.009049
39828,Mabote,34.23702,-22.06717,Maize,0.35132463,35.132463
20607,Lichinga,35.53052,-13.40852,Maize,0.40360665,40.360665
41391,Macanga,33.77169,-14.59434,Maize,0.40236846,40.236846
41954,Mutarara,35.2339,-17.14022,Maize,0.00071243,0.071243
37012,Cahora_Bassa,32.12367,-16.37541,Maize,0.92613477,92.613477
1062,N_gauma,35.36858,-13.74923,Maize,0.42327827,42.327827
11367,Angonia,34.4381,-14.59032,Maize,3.50E-07,3.50E-05
7080,Nhamatanda,34.4558,-19.29693,Maize,0.71400567,71.400567
1525,N_gauma,35.51238,-14.01309,Maize,0.00012268,0.012268
40160,Vilanculos,35.31348,-22.69942,Maize,1.30196356,130.196356
28905,Mossurize,32.49376,-20.65816,Maize,0.01022009,1.022009
23067,Alto_Molocue,37.52955,-15.38054,Maize,0.0001447,0.01447
32671,Mopeia,35.59888,-17.70632,Maize,0.48693688,48.693688
23907,Alto_Molocue,37.70468,-15.67991,Maize,0.35496739,35.496739
