id,state,c_code,country,crop,year,harv_area_ha,yield,production_ha,statearea_ha,perimeter_km,lon,lat
"7196",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,39.0509339972,-14.0075946133
"7197",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,39.1430101243,-14.0052701568
"7198",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,39.2350692998,-14.0029111190
"7333",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,38.8690319602,-14.1020826055
"7334",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,38.9611768348,-14.0998123460
"7335",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,39.0533052268,-14.0975072162
"7336",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,39.1454168858,-14.0951672451
"7337",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,39.2375115618,-14.0927924621
"7470",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,38.6869382931,-14.1964897330
"7471",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,38.7791512850,-14.1942746982
"7472",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,38.8713482659,-14.1920245047
"7473",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,38.9635289844,-14.1897391810
"7474",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,39.0556931895,-14.1874187558
"7475",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,39.1478406304,-14.1850632584
"7476",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,39.2399710566,-14.1826727185
"7477",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,39.3320842178,-14.1802471662
"7609",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,38.6891985802,-14.2864600419
"7610",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,38.7814477276,-14.2842303945
"7611",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,38.8736808339,-14.2819653568
"7612",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,38.9658976473,-14.2796649574
"7613",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,39.0580979163,-14.2773292253
"7614",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,39.1502813897,-14.2749581899
"7615",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,39.2424478165,-14.2725518812
"7616",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,39.3345969459,-14.2701103295
"7747",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,38.5991732824,-14.3786379397
"7748",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,38.6914746564,-14.3764293192
"7749",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,38.7837602114,-14.3741850482
"7750",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,38.8760296949,-14.3719051550
"7751",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,38.9682828547,-14.3695896684
"7752",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,39.0605194388,-14.3672386178
"7753",Mecuburi,MOZ,Mozambique,Maize,2000,10629.000000000000000,0.799981183554427,8503.000000000000000,784656.3200061790,373.5911472049,39.1527391957,-14.3648520327
