uid,BASICA_AREA,Zone,total_volume_prod,geometry
653.0,0.46360000000000001,36.0,800,POINT (34.36476807927652 -15.29885823042302)
656.0,0.6,36.0,750,POINT (34.3673936172562 -15.30450949586251)
662.0,0.81520000000000004,36.0,800,POINT (34.37341238311105 -15.30064922378837)
667.0,0.47599999999999998,36.0,550,POINT (34.36689954902589 -15.29869155643056)
671.0,1.0134000000000001,36.0,1750,POINT (34.36649755481771 -15.29988712906793)
674.0,1.056,36.0,800,POINT (34.33330873378281 -15.27796930445451)
676.0,1,36.0,500,POINT (34.32208216245225 -15.25767115486047)
677.0,1.1484000000000001,36.0,300,POINT (34.32135830796373 -15.25656363224228)
679.0,2.48,36.0,3000,POINT (34.31648884494945 -15.25358230070458)
681.0,1.1279999999999999,36.0,250,POINT (34.33654349374925 -15.27118894377436)
684.0,0.59399999999999997,36.0,250,POINT (34.32139703365156 -15.25828984115)
688.0,0.57999999999999996,36.0,750,POINT (34.31745570478233 -15.25335064957162)
691.0,1,36.0,500,POINT (34.33489620393967 -15.27426294588286)
693.0,0.6,36.0,650,POINT (34.32407687238734 -15.26099474929867)
696.0,0.78,36.0,300,POINT (34.31852835751928 -15.25366070951074)
698.0,0.36720000000000003,36.0,480,POINT (34.33172303604421 -15.17093069053626)
703.0,0.17,36.0,1080,POINT (34.34844783251854 -15.15629666199061)
707.0,0.63539999999999996,36.0,1500,POINT (34.35473294705291 -15.15390888803661)
711.0,1.26,36.0,1125,POINT (34.33069571951861 -15.16887587198786)
713.0,0.68,36.0,2000,POINT (34.34234473847167 -15.15953284860134)
716.0,0.95,36.0,600,POINT (34.33552004671883 -15.16200484594486)
718.0,0.43120000000000003,36.0,160,POINT (34.3377447193413 -15.16059062113527)
720.0,0.47260000000000002,36.0,2500,POINT (34.3408887585202 -15.16034597601209)
723.0,0.68540000000000001,36.0,625,POINT (34.36507156300058 -15.15093605293029)
725.0,0.27839999999999998,36.0,250,POINT (34.36517968991192 -15.15328550679869)
727.0,1.1240000000000001,36.0,850,POINT (34.21085010823934 -15.12815125856546)
729.0,0.78,36.0,350,POINT (34.21333499490821 -15.1282102446409)
730.0,0.26,36.0,300,POINT (34.22264302924624 -15.12866627646986)
733.0,2.76,36.0,5250,POINT (34.21882584909452 -15.12995240692537)
737.0,0.80800000000000005,36.0,3750,POINT (34.20345704046656 -15.13888434943362)
741.0,1.6,36.0,1200,POINT (34.2213070364857 -15.12448828612573)
743.0,0.16,36.0,350,POINT (34.20790818742113 -15.13283132250093)
746.0,0.72,36.0,550,POINT (34.20893242559705 -15.12801689623478)
749.0,1.08,36.0,350,POINT (34.20803544029371 -15.1322973188806)
752.0,1,36.0,1200,POINT (34.22219430419129 -15.12343492639818)
753.0,0.43120000000000003,36.0,600,POINT (34.57519636837137 -15.3055101648544)
755.0,1.1172,36.0,250,POINT (34.5759657059879 -15.30503476617474)
758.0,1.0744,36.0,500,POINT (34.57521063112468 -15.30741708727267)
761.0,0.82799999999999996,36.0,500,POINT (34.57915360486472 -15.30297872095325)
764.0,0.2576,36.0,725,POINT (34.57323650756781 -15.30742195059783)
769.0,0.25480000000000003,36.0,400,POINT (34.57447116476681 -15.30690712902448)
772.0,0.12,36.0,300,POINT (34.57556679998392 -15.30523641404753)
774.0,0.51400000000000001,36.0,300,POINT (34.57769486343057 -15.30465201274765)
777.0,0.28860000000000002,36.0,150,POINT (34.57450914171827 -15.30575903226251)
780.0,0.25600000000000001,36.0,200,POINT (34.57658977743509 -15.30505748053749)
783.0,0.58799999999999997,36.0,900,POINT (34.56322517321825 -15.13956372727616)
785.0,1,36.0,1000,POINT (34.56307345989922 -15.14298121394549)
787.0,0.44,36.0,350,POINT (34.56271193998523 -15.14570421217429)
788.0,0.88,36.0,1200,POINT (34.56456755241224 -15.1424376109824)
790.0,0.54,36.0,400,POINT (34.56363315022254 -15.14063644700807)
794.0,0.51200000000000001,36.0,400,POINT (34.56282038292662 -15.13892481762038)
796.0,0.53400000000000003,36.0,300,POINT (34.56274572925166 -15.14396864574297)
798.0,2.2999999999999998,36.0,2150,POINT (34.56321308376003 -15.13918420689656)
801.0,2.2799999999999998,36.0,3510,POINT (34.56299614728943 -15.14005337518127)
803.0,1.75,36.0,1500,POINT (34.56359084196599 -15.14374587696961)
805.0,0.4,36.0,625,POINT (34.5623682283834 -15.14070847107358)
807.0,1.0680000000000001,36.0,700,POINT (34.56414585604822 -15.14329916081147)
808.0,0.18,36.0,NA,POINT (34.56400687429226 -15.14464681346679)
810.0,0.4,36.0,840,POINT (34.30703803422383 -14.9631843105989)
813.0,0.44800000000000001,36.0,900,POINT (34.30510614459899 -14.96352981742922)
816.0,0.25,36.0,150,POINT (34.30436085435093 -14.96329001960375)
820.0,0.4,36.0,200,POINT (34.29604273508679 -14.6116787793088)
823.0,0.37240000000000001,36.0,50,POINT (34.30392364521855 -14.96325636116613)
827.0,0.68459999999999999,36.0,360,POINT (34.30660629020391 -14.96251788153842)
830.0,1.0192000000000001,36.0,150,POINT (34.3078011355209 -14.96176078400513)
834.0,0.8,36.0,1200,POINT (34.30249252827731 -14.97262012188309)
837.0,1.2416,36.0,1250,POINT (34.30185871311998 -14.97390730876564)
841.0,0.95,36.0,1000,POINT (34.30312584753243 -14.96355921216851)
845.0,0.18459999999999999,36.0,1600,POINT (34.29379232915323 -14.94212600911801)
848.0,0.14000000000000001,36.0,150,POINT (34.2997973555922 -14.94506584154408)
852.0,0.20399999999999999,36.0,3150,POINT (34.30236645694571 -14.94865786474)
856.0,0.40500000000000003,36.0,450,POINT (34.30019836580397 -14.9437257521533)
858.0,0.84,36.0,1100,POINT (34.29981154297901 -14.94433358224773)
861.0,0.44,36.0,550,POINT (34.30024074614222 -14.93686472501206)
865.0,1.216,36.0,2000,POINT (34.29927781435853 -14.94215816005569)
868.0,1,36.0,1300,POINT (34.2997389630851 -14.94463229013045)
871.0,0.5,36.0,500,POINT (34.30070883802861 -14.93740441658431)
874.0,0.75,36.0,700,POINT (34.29981535098076 -14.94496630750849)
877.0,0.216,36.0,1860,POINT (34.29540513824889 -15.00011260806912)
881.0,0.26,36.0,3350,POINT (34.31402169185183 -15.02577654578637)
884.0,0.44800000000000001,36.0,800,POINT (34.30685133637784 -15.0289092661859)
889.0,0.9,36.0,700,POINT (34.29472320047548 -15.0042383682794)
892.0,1.02,36.0,800,POINT (34.32268498809972 -15.01893793793767)
895.0,0.42,36.0,850,POINT (34.31921124529013 -15.02725602613456)
898.0,1.5,36.0,450,POINT (34.30815840135386 -15.00986527795173)
900.0,0.25,36.0,1000,POINT (34.29515770989025 -15.00226534841339)
902.0,0.5,36.0,450,POINT (34.30428517800475 -15.00453631417936)
906.0,0.8,36.0,1000,POINT (34.31746557009502 -15.02468999873667)
910.0,0.19500000000000001,36.0,1500,POINT (34.26762850544198 -14.91012870066534)
915.0,0.221,36.0,950,POINT (34.25947837655643 -14.90253539062537)
917.0,0.26,36.0,1300,POINT (34.26906790226721 -14.90194914031014)
922.0,0.95,36.0,900,POINT (34.29600114210647 -14.93062459318979)
926.0,0.5,36.0,500,POINT (34.29184564682742 -14.92908431188189)
929.0,1.7,36.0,300,POINT (34.25935691490209 -14.90402755898473)
933.0,0.3,36.0,500,POINT (34.26706888456893 -14.91616105575412)
935.0,0.8,36.0,1000,POINT (34.25976501371317 -14.90387164502721)
939.0,1,36.0,1500,POINT (34.26259407559618 -14.90601648079465)
942.0,0.44,36.0,700,POINT (34.26401626528242 -14.90600863562678)
945.0,0.62519999999999998,36.0,400,POINT (34.38859111552683 -14.93887600212361)
949.0,0.495,36.0,200,POINT (34.39137839008731 -14.94005219193816)
951.0,0.3,36.0,750,POINT (34.39027150825374 -14.94285196435398)
953.0,0.51600000000000001,36.0,450,POINT (34.39056899497431 -14.94285015410826)
957.0,0.74,36.0,1440,POINT (34.37693951963261 -14.92967248085896)
961.0,0.56699999999999995,36.0,500,POINT (34.37653398153242 -14.92876198270683)
964.0,0.98,36.0,2000,POINT (34.37963225992117 -14.93354301885009)
968.0,0.98819999999999997,36.0,1580,POINT (34.3893502105223 -14.93548177962717)
971.0,0.55679999999999996,36.0,1160,POINT (34.39166683849965 -14.9328735087046)
973.0,1.4049,36.0,4840,POINT (34.38679448071589 -14.93415953107176)
976.0,0.68899999999999995,36.0,1150,POINT (34.58775029365567 -15.01896836984908)
979.0,0.33279999999999998,36.0,700,POINT (34.59053040219376 -15.0214254047046)
982.0,0.4738,36.0,1780,POINT (34.58735127659988 -15.02160126807775)
984.0,1.5183,36.0,1520,POINT (34.58953407820003 -15.01873899347897)
986.0,0.38579999999999998,36.0,150,POINT (34.58551560639599 -15.02236424487481)
988.0,0.47,36.0,2160,POINT (34.5865165208757 -15.02064000715283)
990.0,0.79200000000000004,36.0,1440,POINT (34.58731265192239 -15.01385580814678)
993.0,1.0931,36.0,5225,POINT (80.49907836729994 -10.23751349558627)
995.0,0.39,36.0,700,POINT (34.58660700152274 -15.02281757983011)
998.0,1.121,36.0,2100,POINT (34.58788389534051 -15.01313780462514)
1001.0,0.72,36.0,650,POINT (34.5887692970415 -15.01089015236922)
1002.0,2.04,36.0,10000,POINT (34.58883278368067 -15.01067279251355)
1005.0,1.4,36.0,1050,POINT (34.58875201050927 -15.01358365350231)
1008.0,0.69,36.0,500,POINT (34.4978840543785 -14.95414796981142)
1011.0,0.57840000000000003,36.0,400,POINT (34.49759266418553 -14.9536889141162)
1015.0,1.52,36.0,650,POINT (34.49562043036244 -14.95350299216348)
1017.0,0.9,36.0,1050,POINT (34.49614704847922 -14.95436724544375)
1020.0,0.75,36.0,750,POINT (34.4978610704512 -14.95351542074885)
1022.0,0.98750000000000004,36.0,850,POINT (34.500315718496 -14.95489124381333)
1026.0,0.35,36.0,700,POINT (34.45498005189684 -14.95715508938637)
1030.0,1.56,36.0,1200,POINT (34.50211955825498 -14.95492457624635)
1033.0,0.25600000000000001,36.0,340,POINT (34.49620930443992 -14.95396010162798)
1036.0,0.55149999999999999,36.0,980,POINT (34.49914731125729 -14.95398602357297)
1038.0,0.36459999999999998,36.0,960,POINT (34.49876219378573 -14.95475682984902)
1042.0,0.51929999999999998,36.0,600,POINT (34.49977111823672 -14.95411750547428)
1045.0,1.2265999999999999,36.0,2600,POINT (34.5003505796845 -14.95455658803258)
1048.0,0.86560000000000004,36.0,420,POINT (34.45603061534862 -14.90608858300148)
1051.0,1.6579999999999999,36.0,2500,POINT (34.45482971829451 -14.9099648027679)
1055.0,0.18559999999999999,36.0,500,POINT (34.45260459374126 -14.91220246658792)
1058.0,0.58799999999999997,36.0,800,POINT (34.4555852648076 -14.90759184732291)
1061.0,0.2009,36.0,350,POINT (34.45902458630594 -14.9103719678467)
1063.0,0.42549999999999999,36.0,240,POINT (34.40202330538659 -14.91284324766572)
