Pixel,State,lon,lat,Crop,Fraction,MaizeArea
81,Guro,33.60971,-16.55402,Maize,1.59899957,159.899957
82,Guro,33.77769,-16.558310000000002,Maize,1.42434847,142.434847
83,Guro,33.78703,-16.55855,Maize,1.52893289,152.893289
84,Guro,33.75878,-16.56684,Maize,0.58854454,58.854454000000004
85,Guro,33.80545,-16.56802,Maize,0.0035673,0.35673
86,Guro,33.92682,-16.57102,Maize,1.42647603,142.647603
87,Guro,33.93615,-16.57124,Maize,1.56930112,156.930112
88,Guro,33.44126,-16.5676,Maize,1.59129625,159.129625
89,Guro,33.45058,-16.56785,Maize,1.33767598,133.767598
90,Guro,33.59962,-16.580779999999997,Maize,1.59878144,159.878144
91,Guro,33.93568,-16.58925,Maize,0.31235495,31.235495
92,Guro,33.450070000000004,-16.58584,Maize,0.28769291,28.769291000000003
93,Guro,33.4594,-16.58609,Maize,0.32976858,32.976858
94,Guro,33.51538,-16.58758,Maize,1.55469884,155.46988399999998
95,Guro,33.683370000000004,-16.59195,Maize,1.59753065,159.753065
96,Guro,33.71137,-16.592670000000002,Maize,1.5874586,158.74586
97,Guro,33.83249,-16.60473,Maize,0.88994667,88.994667
98,Guro,33.897859999999994,-16.60635,Maize,0.5945414,59.45414
99,Guro,33.91653,-16.6068,Maize,0.2318857,23.18857
100,Guro,33.46821,-16.604329999999997,Maize,0.48987591,48.987591
101,Guro,33.75756,-16.61185,Maize,1.5126789,151.26789
102,Guro,33.449290000000005,-16.61283,Maize,0.00201316,0.201316
103,Guro,33.50528,-16.614320000000003,Maize,1.54404894,154.40489399999998
104,Guro,33.65462,-16.61823,Maize,1.52833785,152.833785
105,Guro,33.78532,-16.621560000000002,Maize,1.44498124,144.498124
106,Guro,33.4397,-16.621579999999998,Maize,0.03763418,3.763418
107,Guro,33.44903,-16.62183,Maize,0.60829039,60.829038999999995
108,Guro,33.70105,-16.628429999999998,Maize,1.53873313,153.873313
109,Guro,33.74773,-16.629620000000003,Maize,1.43102337,143.10233699999998
110,Guro,33.86912,-16.63266,Maize,0.00020935,0.020935
111,Guro,33.87846,-16.6329,Maize,0.3890012,38.90012
112,Guro,33.439440000000005,-16.63058,Maize,0.78854004,78.854004
113,Guro,33.728809999999996,-16.63815,Maize,1.55636942,155.636942
114,Guro,33.86888,-16.64167,Maize,0.00724599,0.724599
115,Guro,33.43918,-16.639570000000003,Maize,1.019e-05,0.0010190000000000002
116,Guro,33.59786,-16.64378,Maize,1.59920015,159.920015
117,Guro,33.56026,-16.6518,Maize,1.59887524,159.88752399999998
118,Guro,33.60694,-16.65302,Maize,1.5995851,159.95851000000002
119,Guro,33.8217,-16.65851,Maize,0.01651026,1.6510259999999999
120,Guro,33.45733,-16.658070000000002,Maize,0.00222209,0.222209
121,Guro,33.47599,-16.65857,Maize,1.58589565,158.58956500000002
122,Guro,33.840140000000005,-16.66798,Maize,0.15366815,15.366815
123,Guro,33.47573,-16.66757,Maize,1.58166986,158.166986
124,Guro,33.8399,-16.67698,Maize,0.08109824,8.109824
125,Guro,33.46614,-16.67631,Maize,0.89019718,89.019718
126,Guro,33.49415,-16.67706,Maize,1.44372707,144.372707
127,Guro,33.60618,-16.680020000000003,Maize,1.59897427,159.897427
128,Guro,33.45655,-16.68506,Maize,1.10481575,110.48157499999999
129,Guro,33.63394,-16.68975,Maize,1.59904696,159.904696
130,Guro,33.71799,-16.69192,Maize,1.59703677,159.703677
131,Guro,33.577659999999995,-16.69728,Maize,1.59601957,159.601957
132,Guro,33.59608,-16.706770000000002,Maize,1.58178089,158.178089
133,Guro,33.66145,-16.708479999999998,Maize,1.59866817,159.866817
134,Guro,33.75461,-16.71988,Maize,1.56291098,156.291098
135,Guro,33.79197,-16.72082,Maize,1.58506405,158.506405
136,Guro,33.69831,-16.727439999999998,Maize,1.55774181,155.774181
137,Guro,33.68872,-16.7362,Maize,1.5992694,159.92694
138,Guro,33.707409999999996,-16.73668,Maize,1.59826739,159.826739
139,Guro,33.79124,-16.74783,Maize,1.55513939,155.513939
140,Guro,33.669290000000004,-16.76272,Maize,1.59840246,159.840246
141,Guro,33.67838,-16.77196,Maize,1.59867968,159.86796800000002
142,Guro,33.575359999999996,-16.77828,Maize,1.59644638,159.644638
143,Guro,33.5847,-16.77852,Maize,1.59935105,159.93510500000002
144,Guro,33.56576,-16.787029999999998,Maize,1.59887449,159.887449
145,Guro,33.575109999999995,-16.78727,Maize,1.5996475,159.96475
146,Guro,33.58419,-16.79652,Maize,1.59827996,159.82799599999998
147,Guro,33.61222,-16.79726,Maize,1.59773394,159.773394
148,Guro,33.54631,-16.81353,Maize,1.59806317,159.806317
149,Guro,33.60237,-16.81501,Maize,1.59955467,159.955467
150,Guro,33.53671,-16.82228,Maize,0.43279723,43.279723
151,Guro,33.545790000000004,-16.831529999999997,Maize,1.5985306,159.85306
152,Guro,33.55513,-16.831770000000002,Maize,1.59908251,159.90825099999998
153,Guro,33.564479999999996,-16.83202,Maize,1.59776711,159.776711
154,Guro,33.56422,-16.84102,Maize,1.57677261,157.677261
155,Guro,33.52659,-16.84902,Maize,1.59924192,159.924192
156,Guro,33.72285,-16.85418,Maize,0.54850329,54.850328999999995
157,Guro,33.5541,-16.86777,Maize,1.59798522,159.798522
158,Guro,33.30102,-16.88788,Maize,3.162e-05,0.003162
159,Guro,33.36562,-16.91668,Maize,0.53664869,53.664869
160,Guro,33.627340000000004,-16.92374,Maize,1.585843,158.58429999999998
161,Guro,33.77695,-16.927629999999997,Maize,1.59921002,159.921002
162,Guro,33.76735,-16.93639,Maize,1.59871108,159.871108
163,Guro,33.7858,-16.94588,Maize,1.59481551,159.48155100000002
164,Guro,33.51437,-16.94775,Maize,1.59973321,159.973321
165,Guro,33.61722,-16.9505,Maize,1.56058867,156.058867
166,Guro,33.67307,-16.96097,Maize,1.59817755,159.817755
167,Guro,33.6071,-16.97725,Maize,1.59948729,159.948729
168,Guro,33.653859999999995,-16.978479999999998,Maize,1.59506568,159.50656800000002
169,Guro,33.26037,-16.99476,Maize,1.58623524,158.623524
170,Guro,33.31564,-17.023320000000002,Maize,1.59459026,159.459026
171,Guro,33.390440000000005,-17.02541,Maize,1.58983398,158.98339800000002
172,Guro,33.324709999999996,-17.03258,Maize,1.5709424,157.09424
173,Guro,33.33406,-17.03284,Maize,1.59883154,159.883154
174,Guro,33.34341,-17.0331,Maize,1.59393561,159.393561
175,Guro,33.62296,-17.07674,Maize,1.58346425,158.346425
176,Guro,33.49145,-17.09121,Maize,1.599393,159.9393
177,Guro,33.32253,-17.10454,Maize,1.51412242,151.41224200000002
178,Guro,33.39736,-17.10663,Maize,0.40879762,40.879762
179,Guro,33.42543,-17.10741,Maize,1.54514277,154.514277
180,Guro,33.43479,-17.10766,Maize,1.55885966,155.885966
181,Guro,33.33161,-17.1138,Maize,1.29348386,129.348386
182,Guro,33.397090000000006,-17.11562,Maize,0.60811855,60.811855
183,Guro,33.24688,-17.1294,Maize,1.59564781,159.564781
184,Guro,33.75144,-17.170189999999998,Maize,5.898e-05,0.0058980000000000005
185,Guro,33.27818,-17.32834,Maize,0.01595161,1.595161
186,Guro,33.30516,-17.36512,Maize,0.00092679,0.092679
187,Guro,33.39801,-17.39476,Maize,1.58823214,158.82321399999998
188,Guro,33.26573,-17.427,Maize,1.42396496,142.39649599999998
189,Guro,33.199009999999994,-17.46106,Maize,0.13322482,13.322481999999999
190,Ribaue,38.20326,-14.59745,Maize,0.01556914,1.5569140000000001
191,Ribaue,38.30538,-14.597779999999998,Maize,0.16103876,16.103876
192,Ribaue,38.16605,-14.61541,Maize,0.0690044,6.90044
193,Ribaue,38.24961,-14.615689999999999,Maize,0.31721685,31.721685
194,Ribaue,38.416740000000004,-14.61617,Maize,0.03142774,3.142774
195,Ribaue,38.444590000000005,-14.616229999999998,Maize,1.09843303,109.843303
196,Ribaue,38.463159999999995,-14.61628,Maize,0.47191019,47.191019
197,Ribaue,38.37957,-14.625110000000001,Maize,0.36349856,36.349856
198,Ribaue,38.43528,-14.62525,Maize,0.92148493,92.148493
199,Ribaue,38.45386,-14.6253,Maize,0.61161896,61.161896000000006
200,Ribaue,38.12885,-14.63335,Maize,0.01406494,1.406494
201,Ribaue,38.128809999999994,-14.642389999999999,Maize,0.01461731,1.461731
202,Ribaue,38.18452,-14.64259,Maize,1.66693531,166.693531
203,Ribaue,38.10092,-14.651329999999998,Maize,0.85382365,85.38236500000001
204,Ribaue,38.017309999999995,-14.660029999999999,Maize,0.08541081,8.541081
205,Ribaue,38.17517,-14.660639999999999,Maize,0.46909561,46.909561
206,Ribaue,38.203,-14.66978,Maize,0.39421096,39.421096
207,Ribaue,38.22157,-14.669839999999999,Maize,1.4659143,146.59143
208,Ribaue,38.18439,-14.67875,Maize,0.47312082,47.312082
209,Ribaue,38.25869,-14.679,Maize,0.12124541,12.124541
210,Ribaue,38.40728,-14.679429999999998,Maize,0.0,0.0
211,Ribaue,38.453720000000004,-14.67954,Maize,0.0,0.0
212,Ribaue,38.39797,-14.68845,Maize,0.31532766,31.532766000000002
