Unnamed: 0,State,lon,lat,Crop,Fraction,harv_area,sw_depth,sw_dist,sw_suit,geometry,country,curr_yield,max_yield
8132,Manhica,32.8702,-25.29665,Maize,1.33876673,133.87667299999998,10.0,2.773398599319814,1,POINT (-117815.9352634423 7188046.109659895),moz,4500,6000
42158,Mutarara,35.26469,-17.47466,Maize,0.06112287,6.112287,34.0,6.866388858416093,9999,POINT (103183.9586523383 8064046.39208665),moz,4500,6000
38863,Machaze,32.704229999999995,-20.88188,Maize,0.300151,30.0151,344.0,16.907583243923998,9999,POINT (-155816.4288030613 7678045.808964578),moz,4500,6000
33926,Mossuril,40.78484,-14.6914,Maize,9.86476394,986.4763939999999,24.0,18.862191913252577,9999,POINT (692183.3235743581 8375046.737640301),moz,4500,6000
1242,N_gauma,35.2467,-13.864720000000002,Maize,0.00055169,0.055169,889.0,40.715294206153466,9999,POINT (94183.5323449311 8464046.4022923),moz,4500,6000
19142,Mecanhelas,36.18074,-15.2682,Maize,0.00055016,0.055015999999999995,652.0,20.094494308427006,9999,POINT (197183.6070178906 8310046.505180333),moz,4500,6000
28602,Caia,35.40737,-17.86534,Maize,1.15829187,115.829187,29.0,1.941838473208794,1,POINT (119183.1744087919 8021046.463896722),moz,4500,6000
27077,Ile,37.1241,-15.91969,Maize,6.84e-06,0.000684,420.0,0.351462764609783,1,POINT (299183.8509166366 8239046.096029295),moz,4500,6000
36335,Maringue,34.48121,-17.61165,Maize,0.07286226,7.286225999999999,279.0,16.691315627465848,9999,POINT (20183.68535822502 8047045.833863022),moz,4500,6000
22705,Alto_Molocue,37.390859999999996,-15.24402,Maize,0.15240354,15.240354,752.0,13.74523209297654,9999,POINT (327183.4670981541 8314045.831139263),moz,4500,6000
34041,Marracuene,32.69862,-25.55027,Maize,0.86811506,86.81150600000001,9.0,2.563820351063707,1,POINT (-133816.6892382328 7159046.518870193),moz,4500,6000
907,Mogovolas,39.43138,-15.873170000000002,Maize,0.81956722,81.956722,85.0,5.598140635442578,9999,POINT (546183.39968074 8245046.216892579),moz,4500,6000
30021,Gondola,33.40231,-19.30363,Maize,0.93964115,93.964115,580.0,9.772765440288424,9999,POINT (-88816.50431927177 7856046.273192639),moz,4500,6000
34242,Lugela,36.97149,-16.23455,Maize,1.67002265,167.002265,319.0,6.1304415106718135,9999,POINT (283183.0466070785 8204046.381553343),moz,4500,6000
37532,Tsangano,34.44853,-14.978229999999998,Maize,1.5665154,156.65153999999995,1046.0,21.466785786938477,9999,POINT (10184.03052027943 8339045.96589306),moz,4500,6000
30464,Jangamo,35.38330999999999,-24.07215,Maize,0.56626353,56.626353,3.0,40.21342923340517,9999,POINT (132183.8480722049 7333046.066401418),moz,4500,6000
27989,Ile,37.512409999999996,-16.4469,Maize,0.00331714,0.331714,207.0,7.140340184544178,9999,POINT (341183.9087899583 8181046.186382852),moz,4500,6000
4854,Machanga,34.97397,-20.95065,Maize,1.53041204,153.04120400000005,6.0,4.079958897722447,1,POINT (81183.81404677598 7678046.618381166),moz,4500,6000
6490,Nhamatanda,34.301429999999996,-19.04965,Maize,0.40269557,40.269557,45.0,2.7020320056746154,1,POINT (5183.406966808194 7887046.343070658),moz,4500,6000
21138,Manica,32.90282,-19.2246,Maize,0.97613826,97.613826,659.0,6.893851820202713,9999,POINT (-141816.9497226718 7863046.153647447),moz,4500,6000
43703,Matutuine,32.6075,-26.49979,Maize,0.00200439,0.200439,7.0,1.3616780031732898,1,POINT (-137816.5429570718 7053046.270385741),moz,4500,6000
30299,Gondola,33.48532,-19.09006,Maize,1.8140706999999998,181.40707,580.0,27.5964316992138,9999,POINT (-80816.34363923571 7880045.895504871),moz,4500,6000
11964,Angonia,34.34174,-14.768720000000002,Maize,1.04944571,104.944571,1156.0,1.7650107161380266,1,POINT (-1816.343638658349 8362045.830725205),moz,4500,6000
12246,Mueda,39.59785,-11.56891,Maize,1.43777128,143.777128,262.0,36.077467146968324,9999,POINT (565184.0846417055 8721046.523966601),moz,4500,6000
9311,Govuro,34.88515,-21.038710000000002,Maize,1.08573964,108.57396399999999,11.0,1.056728773277252,1,POINT (72184.03762143169 7668046.54309761),moz,4500,6000
37275,Tsangano,34.349270000000004,-14.850010000000001,Maize,1.57608636,157.60863600000002,1063.0,3.801995341959511,1,POINT (-816.1050556444097 8353045.836645691),moz,4500,6000
39907,Mabote,33.40181,-22.65289,Maize,0.35044147,35.044146999999995,78.0,0.615815729719517,1,POINT (-75816.23135040782 7484046.287553772),moz,4500,6000
23418,Alto_Molocue,37.73362,-15.526420000000002,Maize,0.46998619,46.99861900000001,597.0,12.10960781907666,9999,POINT (364183.9432384397 8283046.438759262),moz,4500,6000
30493,Jangamo,35.43115,-24.11838,Maize,0.54813807,54.813807,3.0,46.13771176292472,9999,POINT (137183.9149793189 7328045.743205689),moz,4500,6000
9757,Moma,39.64833,-16.52349,Maize,0.59536005,59.536005,4.0,5.4617878641853,9999,POINT (569183.6064836561 8173046.329056026),moz,4500,6000
14987,Morrumbala,35.54805000000001,-17.40759,Maize,0.48523077,48.523077,31.0,22.49734328111324,9999,POINT (133183.316219077 8072045.766768584),moz,4500,6000
34252,Lugela,37.08222,-16.38919,Maize,0.11830135,11.830135,264.0,4.118858788921911,1,POINT (295183.2182555952 8187046.370421416),moz,4500,6000
12913,Morrumbala,35.73152000000001,-16.5892,Maize,4.02e-06,0.00040199999999999996,337.0,22.961687505375213,9999,POINT (151183.92975509 8163045.999222187),moz,4500,6000
