alloc_key,lon,lat,country,c_code,state,statearea_ha,perimeter_km,year,crop,yield,harv_area_ha,production_ha,geometry
10970,33.584479025,-16.454303031600002,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-78816.44228339859 8173046.25636634)
10971,33.6777461708,-16.456699149000002,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-68816.44228682353 8173046.256368401)
10972,33.7710286792,-16.4590540848,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-58816.44228741887 8173046.256371014)
11109,33.488672585500005,-16.5418455665,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-88816.44228325784 8163046.256365998)
11110,33.581966831399995,-16.5442969054,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-78816.44228613365 8163046.256373061)
11111,33.675276739,-16.546706856300002,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-68816.44228829455 8163046.256364845)
11112,33.7686020425,-16.5490753881,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-58816.44228152779 8163046.256365432)
11113,33.8619424756,-16.5514024705,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-48816.4422842412 8163046.256367055)
11249,33.4861017366,-16.631824208599998,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-88816.4422792797 8153046.25637053)
11250,33.5794389761,-16.6342896307,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-78816.44228456449 8153046.256373077)
11251,33.6727919114,-16.636713427300002,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-68816.44228402886 8153046.256367359)
11252,33.766160276,-16.639095567200002,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-58816.44228351221 8153046.256366558)
11253,33.859543803200005,-16.6414360199,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-48816.4422835462 8153046.256364316)
11388,33.390150423099996,-16.719280334100002,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-98816.44228070695 8143046.256364899)
11389,33.4835149256,-16.7218016834,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-88816.44228683028 8143046.256365662)
11390,33.576895425,-16.724281201300002,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-78816.4422839171 8143046.256364439)
11391,33.6702916544,-16.7267188559,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-68816.44228627626 8143046.256371902)
11392,33.7637033469,-16.7291146161,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-58816.4422806513 8143046.256368943)
11528,33.3875041238,-16.809242289,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-98816.44228535716 8133046.256372446)
11529,33.4809121178,-16.8117779844,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-88816.44228848023 8133046.256373988)
11530,33.574336143800004,-16.8142716108,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-78816.44228479674 8133046.256367513)
11531,33.6677759344,-16.8167231361,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-68816.44228080241 8133046.256364021)
11532,33.7612312219,-16.8191325288,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-58816.44228798652 8133046.256366434)
11667,33.2914061079,-16.8966107223,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-108816.4422814331 8123046.256371726)
11668,33.3848415255,-16.899203051,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-98816.44228245027 8123046.256372803)
11669,33.4782932781,-16.9017531055,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-88816.44228120707 8123046.256373176)
11670,33.571761098,-16.9042608531,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-78816.44228156668 8123046.256369454)
11671,33.6652447173,-16.9067262615,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-68816.44228176272 8123046.256372929)
11672,33.7587438678,-16.9091492992,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-58816.44228430768 8123046.256364962)
11807,33.288683184499995,-16.9865556749,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-108816.4422859105 8113046.256373881)
11808,33.3821625921,-16.9891626137,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-98816.44228765252 8113046.256366766)
11809,33.4756583709,-16.9917270403,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-88816.44228906941 8113046.256373392)
11810,33.5691702527,-16.994248922,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-78816.44228480803 8113046.256368035)
11811,33.6626979689,-16.9967282262,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-68816.44228608953 8113046.256372736)
11812,33.7562412508,-16.9991649212,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-58816.44228660385 8113046.256369464)
11946,33.1924366326,-17.0738351298,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-118816.4422802016 8103046.256373506)
11947,33.2859436219,-17.0764994085,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-108816.4422879926 8103046.256363688)
11948,33.3794672876,-17.0791209706,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-98816.4422783996 8103046.256367225)
11949,33.4730073608,-17.0816997826,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-88816.4422867056 8103046.256363886)
11950,33.5665635729,-17.0842358112,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-78816.44228912157 8103046.256372533)
11951,33.6601356548,-17.086729024,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-68816.44228647707 8103046.256370981)
11952,33.7537233371,-17.0891793888,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-58816.44228548964 8103046.256374486)
12085,33.0961014083,-17.161040689100002,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-128816.442285707 8093046.256371789)
12086,33.1896359045,-17.1637627628,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-118816.4422816652 8093046.25637175)
12087,33.2831873831,-17.1664419164,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-108816.4422820711 8093046.256365847)
12088,33.3767555753,-17.1690781153,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-98816.44227863697 8093046.256374495)
12089,33.4703402118,-17.1716713259,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-88816.44228628755 8093046.256366104)
12090,33.5639410234,-17.1742215146,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-78816.44228279241 8093046.256370127)
12091,33.6575577403,-17.1767286488,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-68816.44228074048 8093046.256363938)
12092,33.7511900925,-17.179192695999998,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-58816.44228811748 8093046.256374134)
12093,33.84483781,-17.1816136248,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-48816.44228434726 8093046.256366154)
12225,33.0932389778,-17.2509519495,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-128816.4422852879 8083046.256369385)
12226,33.186818193899995,-17.25368915,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-118816.4422842419 8083046.256366782)
12227,33.2804144306,-17.2563831922,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-108816.4422864096 8083046.256370845)
12228,33.3740274185,-17.2590340416,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-98816.44228353724 8083046.256367367)
12229,33.467656887800004,-17.261641664000003,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-88816.442282064 8083046.256368568)
12230,33.5613025685,-17.2642060259,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-78816.44228091137 8083046.256369414)
12231,33.6549641903,-17.266727094300002,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-68816.44228325738 8083046.256369618)
12232,33.7486414827,-17.269204836700002,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-58816.44228632236 8083046.25637405)
12233,33.842334175,-17.271639221300003,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-48816.44228121208 8083046.256370622)
12365,33.090359257399996,-17.3408619434,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-128816.4422877867 8073046.256371047)
12366,33.1839834627,-17.3436142847,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-118816.4422792634 8073046.256373033)
12367,33.277624726999996,-17.3463232295,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-108816.4422799094 8073046.256370165)
12368,33.3712827803,-17.3489887429,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-98816.4422827044 8073046.25636913)
12369,33.4649573523,-17.3516107906,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-88816.44228352304 8073046.256370384)
12370,33.5586481724,-17.3541893389,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-78816.44228160067 8073046.256368292)
12371,33.6523549697,-17.3567243545,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-68816.44228062045 8073046.256373439)
12372,33.746077473,-17.3592158049,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-58816.44228790875 8073046.256368338)
12506,33.1811316723,-17.4335381605,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-118816.4422811704 8063046.256370671)
12507,33.2748182342,-17.4362620218,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-108816.4422877074 8063046.256364874)
12508,33.3685216234,-17.4389422129,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-98816.44227911858 8063046.256369207)
12509,33.4622415687,-17.4415786994,Mozambique,MOZ,Guro,691032.6665842065,361.28893451949995,2000,Maize,0.024596884394642998,7318.0,180.0,POINT (-88816.44228291942 8063046.256371056)
8078,38.082458754,-14.624131631600001,Mozambique,MOZ,Ribaue,644555.7567714689,406.13886405150004,2000,Maize,1.429983965793693,11226.0,16053.0,POINT (401183.5577117172 8383046.256364014)
8079,38.1753046035,-14.624478693099999,Mozambique,MOZ,Ribaue,644555.7567714689,406.13886405150004,2000,Maize,1.429983965793693,11226.0,16053.0,POINT (411183.5577171357 8383046.256364217)
8080,38.2681527696,-14.6247887726,Mozambique,MOZ,Ribaue,644555.7567714689,406.13886405150004,2000,Maize,1.429983965793693,11226.0,16053.0,POINT (421183.5577183552 8383046.256372919)
8081,38.361002991599996,-14.625061866300001,Mozambique,MOZ,Ribaue,644555.7567714689,406.13886405150004,2000,Maize,1.429983965793693,11226.0,16053.0,POINT (431183.5577205206 8383046.256371427)
8082,38.453855008699996,-14.6252979706,Mozambique,MOZ,Ribaue,644555.7567714689,406.13886405150004,2000,Maize,1.429983965793693,11226.0,16053.0,POINT (441183.5577212663 8383046.256371245)
8217,37.9892006678,-14.7141483296,Mozambique,MOZ,Ribaue,644555.7567714689,406.13886405150004,2000,Maize,1.429983965793693,11226.0,16053.0,POINT (391183.5577163089 8373046.256365484)
8218,38.0820820431,-14.7145348459,Mozambique,MOZ,Ribaue,644555.7567714689,406.13886405150004,2000,Maize,1.429983965793693,11226.0,16053.0,POINT (401183.5577190919 8373046.25637394)
8219,38.1749660007,-14.714884146300001,Mozambique,MOZ,Ribaue,644555.7567714689,406.13886405150004,2000,Maize,1.429983965793693,11226.0,16053.0,POINT (411183.5577146565 8373046.256370074)
8220,38.2678522795,-14.715196226199998,Mozambique,MOZ,Ribaue,644555.7567714689,406.13886405150004,2000,Maize,1.429983965793693,11226.0,16053.0,POINT (421183.5577157739 8373046.256367965)
8221,38.360740618200005,-14.7154710816,Mozambique,MOZ,Ribaue,644555.7567714689,406.13886405150004,2000,Maize,1.429983965793693,11226.0,16053.0,POINT (431183.5577175543 8373046.256367948)
8222,38.4536307555,-14.715708709000001,Mozambique,MOZ,Ribaue,644555.7567714689,406.13886405150004,2000,Maize,1.429983965793693,11226.0,16053.0,POINT (441183.5577184866 8373046.256367782)
8356,37.8958661196,-14.804121905499999,Mozambique,MOZ,Ribaue,644555.7567714689,406.13886405150004,2000,Maize,1.429983965793693,11226.0,16053.0,POINT (381183.55771767 8363046.256374245)
8357,37.9887830101,-14.804548351,Mozambique,MOZ,Ribaue,644555.7567714689,406.13886405150004,2000,Maize,1.429983965793693,11226.0,16053.0,POINT (391183.5577161039 8363046.256372112)
8358,38.0817027497,-14.804937346800001,Mozambique,MOZ,Ribaue,644555.7567714689,406.13886405150004,2000,Maize,1.429983965793693,11226.0,16053.0,POINT (401183.5577129873 8363046.256364796)
8359,38.1746250768,-14.8052888878,Mozambique,MOZ,Ribaue,644555.7567714689,406.13886405150004,2000,Maize,1.429983965793693,11226.0,16053.0,POINT (411183.5577180521 8363046.256365199)
8360,38.2675497295,-14.8056029695,Mozambique,MOZ,Ribaue,644555.7567714689,406.13886405150004,2000,Maize,1.429983965793693,11226.0,16053.0,POINT (421183.5577130566 8363046.256372795)
8361,38.360476446199996,-14.805879588,Mozambique,MOZ,Ribaue,644555.7567714689,406.13886405150004,2000,Maize,1.429983965793693,11226.0,16053.0,POINT (431183.5577159003 8363046.256373884)
8362,38.453404965,-14.8061187397,Mozambique,MOZ,Ribaue,644555.7567714689,406.13886405150004,2000,Maize,1.429983965793693,11226.0,16053.0,POINT (441183.5577155193 8363046.256374564)
8496,37.8954069923,-14.894518487200001,Mozambique,MOZ,Ribaue,644555.7567714689,406.13886405150004,2000,Maize,1.429983965793693,11226.0,16053.0,POINT (381183.5577129964 8353046.256374539)
