id,state,c_code,country,crop,year,harv_area_ha,yield,production_ha,statearea_ha,perimeter_km,lon,lat
"10970",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.5844790250,-16.4543030316
"10971",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.6777461708,-16.4566991490
"10972",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.7710286792,-16.4590540848
"11109",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.4886725855,-16.5418455665
"11110",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.5819668314,-16.5442969054
"11111",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.6752767390,-16.5467068563
"11112",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.7686020425,-16.5490753881
"11113",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.8619424756,-16.5514024705
"11249",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.4861017366,-16.6318242086
"11250",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.5794389761,-16.6342896307
"11251",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.6727919114,-16.6367134273
"11252",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.7661602760,-16.6390955672
"11253",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.8595438032,-16.6414360199
"11388",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.3901504231,-16.7192803341
"11389",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.4835149256,-16.7218016834
"11390",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.5768954250,-16.7242812013
"11391",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.6702916544,-16.7267188559
"11392",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.7637033469,-16.7291146161
"11528",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.3875041238,-16.8092422890
"11529",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.4809121178,-16.8117779844
"11530",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.5743361438,-16.8142716108
"11531",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.6677759344,-16.8167231361
"11532",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.7612312219,-16.8191325288
"11667",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.2914061079,-16.8966107223
"11668",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.3848415255,-16.8992030510
"11669",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.4782932781,-16.9017531055
"11670",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.5717610980,-16.9042608531
"11671",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.6652447173,-16.9067262615
"11672",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.7587438678,-16.9091492992
"11807",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.2886831845,-16.9865556749
"11808",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.3821625921,-16.9891626137
"11809",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.4756583709,-16.9917270403
"11810",Guro,MOZ,Mozambique,Maize,2000,7318.000000000000000,0.024596884394643,180.000000000000000,691032.6665842065,361.2889345195,33.5691702527,-16.9942489220
