"CONTINENT_CODE","CONTINENT_NAME","COUNTRY_CODE","COUNTRY_NAME","AREA_CODE","AREA_NAME","ADMIN_LEVEL","ITEM_CODE","ITEM_NAME","YEAR","AEREA_HARVESTED","YIELD","PRODUCTION"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","267","Sunflower Seed","2008","300.0","","28.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","267","Sunflower Seed","Most recent","300.0","","28.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","27","Rice, Paddy","1999","47253.0","0.83","39079.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","27","Rice, Paddy","2000","28524.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","27","Rice, Paddy","2002","49500.0","","23500.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","27","Rice, Paddy","2003","","","22300.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","27","Rice, Paddy","2005","42600.0","","10800.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","27","Rice, Paddy","2006","61400.0","","14100.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","27","Rice, Paddy","2007","54200.0","","11500.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","27","Rice, Paddy","2008","30500.0","","6700.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","27","Rice, Paddy","Most recent","30500.0","","6700.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","289","Sesame Seed","2000","3535.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","289","Sesame Seed","2002","8000.0","","2185.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","289","Sesame Seed","2003","","","3459.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","289","Sesame Seed","2005","19800.0","","6314.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","289","Sesame Seed","2006","15300.0","","4610.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","289","Sesame Seed","2007","16400.0","","3763.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","289","Sesame Seed","2008","24800.0","","5494.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","289","Sesame Seed","Most recent","24800.0","","5494.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","328","Seed Cotton","1999","46475.0","0.53","24514.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","328","Seed Cotton","2000","32525.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","328","Seed Cotton","2002","47325.0","","15317.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","328","Seed Cotton","2003","29265.0","","13376.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","328","Seed Cotton","2005","41339.0","","21677.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","328","Seed Cotton","2006","54247.0","","30000.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","328","Seed Cotton","2007","51159.0","","18965.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","328","Seed Cotton","2008","","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","328","Seed Cotton","Most recent","","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","358","Cabbages","2000","39.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","358","Cabbages","Most recent","39.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","388","Tomatoes","2000","255.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","388","Tomatoes","Most recent","255.0","",""
